b_gal,mu,medium
2.31124807395994,1.78998384491115,1
0.693374422187981,1.74798061389338,1
0.616332819722649,1.7124394184168,1
3.96764252696456,1.52180936995153,1
11.8258859784284,1.12277867528271,1
16.8721109399076,0.990306946688206,1
13.713405238829,1.09208400646204,1
17.6810477657935,0.833602584814216,1
20.1463790446841,0.817447495961228,1
18.9522342064715,0.630048465266559,1
24.6147919876734,0.723747980613893,1
26.0015408320493,0.655896607431341,1
0.654853620955311,0.917609046849757,2
2.73497688751926,0.831987075928917,2
4.31432973805855,0.825525040387722,2
18.5670261941448,0.483037156704361,2
19.5300462249615,0.32794830371567,2
26.4637904468413,0.263327948303715,2
31.8567026194145,0.211631663974151,2
0.808936825885974,0.638126009693053,3
0.885978428351306,0.581583198707592,3
3.73651771956856,0.591276252019386,3
7.24191063174114,0.537964458804523,3
9.82280431432974,0.39903069466882,3
16.0246533127889,0.429725363489498,3
16.4098613251156,0.418416801292407,3
14.9845916795069,0.266558966074313,3
22.7272727272727,0.284329563812601,3
23.9984591679507,0.258481421647819,3
