"","idle1_phi","idle2_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.IDLE2","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.IDLE2","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.IDLE2","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,0.1,0.914812088567371,4,1.24069441434441,12.0347205823415,0.551457297737698,3.58273018321755,0.134215268776494,0.406031268688207,0.114043662615122,3.24963223028689e-20,0.482688964656066,8.83139365696483,256.510508152024,2488.14877890398,114.012435319606,740.720623260269,27.7486755784346,83.9459627227039,23.5782457877677,6.71853443572199e-18,99.7947521741089,1825.86884284123,7.20991983451663,3.65960548899197,18.7026043694666,1.93658269246472,0.230170684594751,11.0185814083436,0.501864975062147,6.71853443572199e-19,9.97947521741089,46.5559436528513,10,1e-05,26.6054783666105,4.87565130027677,5.97284884932143,11.9995055405074,1.52813016552173,58.7283627030622,16.4952753606513,99.7947483237026
"2",0.02,0.08,0.914812091276137,4,1.240694392761,12.034719821719,0.551457243412185,3.58273031017922,0.13421526810193,0.40603127528868,0.114043675814907,0.0965377717090043,0.386151114860344,8.83139272899339,256.510504449236,2488.14862901459,114.012424425532,740.720651702561,27.7486755211341,83.9459643359001,23.5782485866059,19.9589461062811,79.8357902190847,1825.86865639184,7.20991995737471,3.65960516268825,18.7026020205116,1.93658272595008,0.230170678144544,11.0185808637868,0.501865000188266,1.99589461062811,7.98357902190847,46.5559377964444,10,1e-05,26.6054818773893,4.8756516060036,5.97284997864895,11.9995066704966,1.52813027202999,58.7283636577547,16.4952772698681,99.7947378376253
"3",0.04,0.06,0.914812091704291,4,1.24069441130502,12.0347205567468,0.551457297378535,3.58273016360281,0.134215268242841,0.406031268507812,0.114043658477272,0.193075576321565,0.289613366259257,8.83139365080699,256.51050840322,2488.14878214427,114.012435636302,740.720621744924,27.7486755632542,83.945962973261,23.5782450131279,39.9178990339738,59.8768489183322,1825.86884782907,7.20991983933142,3.6596054899794,18.7026044322384,1.93658269724166,0.230170677260375,11.0185815457672,0.501864963335186,3.99178990339738,5.98768489183322,46.5559438137347,10,1e-05,26.6054783318676,4.87565130260612,5.97284910359353,11.9995054355722,1.52813017155904,58.7283626769699,16.4952747621526,99.7947482541189
"4",0.06,0.04,0.91481209100901,4,1.24069440867976,12.0347204481738,0.551457293781788,3.58273012800467,0.134215266773985,0.406031265321164,0.114043657572319,0.289613364670006,0.193075576375575,8.83139357263682,256.5105076655,2488.14875780603,114.012434806031,740.720613822131,27.7486752384822,83.9459622506284,23.578244808111,59.8768485442507,39.9178990148016,1825.86883027988,7.20991991620497,3.65960558833038,18.7026041679478,1.93658261201174,0.230170655738025,11.0185815451477,0.50186496326338,5.98768485442507,3.99178990148016,46.5559431662468,10,1e-05,26.6054798419226,4.87565154972886,5.97284883167277,11.9995057186783,1.52812977576935,58.7283622160532,16.4952746312603,99.794747370796
"5",0.08,0.02,0.914812092608513,4,1.24069441110153,12.0347205440819,0.551457297130548,3.58273015522118,0.134215267870742,0.406031268176948,0.114043657704725,0.386151153610315,0.0965377840609394,8.83139364640197,256.51050861469,2488.1487819852,114.012435697724,740.720620744189,27.748675513751,83.9459629878299,23.5782448767111,79.8357983468224,19.9589486890824,1825.86884872308,7.2099198654698,3.65960548886073,18.7026043692079,1.9365826894425,0.230170677651234,11.0185815833029,0.501864962054088,7.98357983468224,1.99589486890824,46.5559438647627,10,1e-05,26.6054786442844,4.87565130629313,5.97284907715165,11.9995053848474,1.52813015325161,58.7283626291137,16.4952746504115,99.7947482043423
"6",0.1,0,0.914812088686723,4,1.24069441435893,12.0347205798543,0.551457297893042,3.58273017817825,0.134215268617105,0.406031269284359,0.114043660878831,0.482688964309208,2.15604712863834e-17,8.8313936597275,256.510508188492,2488.14877871437,114.012435366598,740.720622315045,27.7486755491015,83.9459628569089,23.5782454318698,99.7947521154167,4.45757422814804e-15,1825.86884365062,7.20991984276467,3.65960548266123,18.7026043474188,1.93658269158225,0.230170683158566,11.0185814762276,0.501864969776421,9.97947521154167,4.45757422814804e-16,46.5559436497896,10,1e-05,26.6054784783534,4.8756512979226,5.9728489266276,11.9995054960561,1.5281301714938,58.7283627892896,16.4952751095141,99.7947483549208
"7",0,0.2,0.813165795066489,4,1.24069440268668,12.0347201518044,0.551457276866224,3.58273011712589,0.134215266581538,0.406031260141908,0.114043658846378,4.56442230398175e-19,1.0860534721794,8.83139327476286,228.009196589328,2211.68634842571,101.344320067316,658.417910029501,24.6654736549232,74.6185855393823,20.9584269690921,8.38828852755056e-17,199.589986952822,1622.99344704273,6.40881383247532,3.25298043077985,16.6245257062341,1.72140568638757,0.204596041149459,9.79428832988707,0.446101909791441,8.38828852755056e-18,19.9589986952822,41.3830333728333,10,1e-05,26.6054827007571,4.87565176598226,5.97284929060559,11.9995057193828,1.52813015702048,58.7283614669256,16.4952748155402,99.7947440048203
"8",0.04,0.16,0.813165796370424,4,1.24069440729519,12.0347203574574,0.551457288236153,3.58273015717785,0.134215267838287,0.406031265971891,0.114043658888848,0.217210150214066,0.868843335739801,8.83139344931035,228.009197801878,2211.68638976619,101.344322319339,658.41791844586,24.6654739254347,74.6185867304432,20.9584270105044,39.9178974399546,159.672092364326,1622.99348172279,6.40881369619664,3.25298048927641,16.6245268999762,1.72140576289085,0.204596039812742,9.79428846372323,0.446101909648089,3.99178974399546,15.9672092364326,41.3830337352547,10,1e-05,26.6054797357598,4.87565196872236,5.97284939923695,11.9995054968791,1.52813032334337,58.7283623101743,16.495274821683,99.794745977207
"9",0.08,0.12,0.813165795584289,4,1.24069440274425,12.0347201466484,0.551457265881233,3.58273026836809,0.134215267942565,0.406031276821604,0.114043667754506,0.434420293057916,0.65163315611123,8.83139311308799,228.009196745097,2211.6863488865,101.344318113077,658.417938243367,24.6654739207528,74.6185886522162,20.9584286195331,79.8357934482625,119.754189402933,1622.99341836433,6.40881369907858,3.25298046887656,16.6245256556366,1.72140579327269,0.204596025958403,9.79428835416832,0.446101927417305,7.98357934482625,11.9754189402933,41.3830319683663,10,1e-05,26.6054803028874,4.87565147568562,5.97284969450506,11.9995061101435,1.52813021274528,58.7283638794768,16.4952761040117,99.7947421778943
"10",0.12,0.08,0.813165795128974,4,1.24069440182145,12.0347201284103,0.551457264639238,3.58273026987842,0.134215268038497,0.406031277098048,0.114043667796966,0.651633155487454,0.434420293055348,8.83139309258283,228.00919644784,2211.6863442964,101.344317828083,658.417938152262,24.6654739245719,74.6185886612388,20.958428615601,119.754189221245,79.8357934030882,1622.99341368722,6.40881369339463,3.25298044042909,16.6245255964305,1.72140579607658,0.204596031297598,9.79428835949129,0.446101927522115,11.9754189221245,7.98357934030882,41.3830318391109,10,1e-05,26.6054803493788,4.87565147304459,5.97284966560564,11.9995060991969,1.52813026820631,58.7283639194617,16.4952761101532,99.794741946186
