"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,0.991241983107644,4,1.22180838023782,11.0904190128611,0.479625855544879,3.73765717893984,0.124717901851398,0.452581807308495,0.109705694358067,5.55111572447814e-18,7.69229524172091,225.266043695632,2044.75174205939,88.4291028612011,689.115624846566,22.994365386998,83.442964404254,20.2265495462665,1.02346480640966e-15,1418.23623414984,4.96759537992749,2.95580969606102,15.5433732424575,1.41217916832847,0.162020796255131,8.07063395730856,0.37400220971044,1.02346480640966e-16,38.0527312979559,10,1e-05,29.14788736688,3.36439423374205,4.30579964939357,9.24461173034106,1.46425706964271,53.8753383420032,13.0593658563843,71.5383457480045
"2",0.01,0.981329563285292,4,1.22180837755625,11.0904188785651,0.479625851570303,3.73765710999435,0.12471790296728,0.452581798672319,0.109705693217083,0.0391932305578907,7.69229517049261,223.013382771199,2024.3042001441,87.5448111078989,682.224456019731,22.7644219370093,82.6085331846081,20.0242838427213,7.15383450384332,1404.05385881972,4.91791948293959,2.92625149684251,15.387938970363,1.39805730057338,0.160400621491515,7.98992768873491,0.370262194118004,0.715383450384332,37.672203880134,10,1e-05,29.1478896193242,3.36439428937889,4.3057988238573,9.24461201532236,1.46425712922268,53.8753373139529,13.0593657205616,71.5383450855813
"3",0.02,0.971417143465904,4,1.22180836159012,11.0904181012774,0.479625791816104,3.73765730242746,0.124717898360431,0.45258181754045,0.109705708544098,0.079186311723225,7.69229416195971,220.760719457025,2003.85654255208,86.6605092910544,675.333334676012,22.5344774489711,81.7741069666336,19.8220211189408,14.3076669768543,1389.87131440093,4.8682435675965,2.89669310822666,15.2325027916365,1.38393557176072,0.158780385789731,7.90922090766045,0.366522187455374,1.43076669768543,37.291670488414,10,1e-05,29.1478930744141,3.36439443032497,4.30580012102038,9.24461230235364,1.46425717956807,53.8753395600151,13.0593675450895,71.5383357062253
"4",0.03,0.961504723651334,4,1.22180837587557,11.0904188420308,0.479625848368335,3.737657123439,0.124717900410333,0.452581800569833,0.109705692765201,0.120004012486493,7.69229512108989,218.50806161301,1983.4091593225,85.7762284952064,668.442146201072,22.3045341685247,80.9396742700927,19.6197527757641,21.461503024495,1375.68912560453,4.81856756485336,2.86713528958148,15.0770713801263,1.36981375175312,0.157160183257695,7.82851490357415,0.362782141930692,2.1461503024495,36.9111491086097,10,1e-05,29.1478895222156,3.36439424514717,4.30579950569598,9.24461159275771,1.46425712194739,53.8753375398329,13.0593656667696,71.538344626136
"5",0.04,0.951592303889303,4,1.22180836715321,11.0904183497172,0.479625814813793,3.73765718139253,0.124717898935957,0.452581803549983,0.109705700060892,0.161672062954213,7.69229454672793,216.255399655963,1962.96155522167,84.8919315469602,661.551000360487,22.0745902579542,80.1052451717617,19.4174885759564,28.6153357001713,1361.50666192437,4.76889167326924,2.8375769661148,14.9216361334738,1.35569195425641,0.155539977515729,7.74780830204973,0.359042129206032,2.86153357001713,36.5306185786669,10,1e-05,29.1478928361928,3.36439441388181,4.30579991670142,9.24461192708741,1.46425722127823,53.8753378945899,13.0593665352486,71.5383392845698
"6",0.05,0.941679883970786,4,1.22180837564019,11.0904187810915,0.479625846814486,3.73765709267609,0.124717901190302,0.452581787157303,0.109705698794022,0.2042173571622,7.69229508793599,214.002740709774,1942.51411439962,84.0076461906439,654.659828507808,21.8446470022853,79.2708126560698,19.2152228462997,35.7691721587017,1347.32439553305,4.71921568232336,2.80801905637494,14.7662037883614,1.34157014910222,0.153919768577158,7.6671017843305,0.35530210739414,3.57691721587017,36.1500947654709,10,1e-05,29.1478904610144,3.36439432612883,4.30579964683054,9.24461177438948,1.46425714960173,53.8753359432053,13.0593663844404,71.5383443178047
"7",0.06,0.93176696853526,4,1.22180837586037,11.0904188406147,0.479625848753524,3.7376571164005,0.124717900464495,0.452581799595044,0.109705692355388,0.247670053570992,7.69229512683235,211.749967690192,1922.06558538049,83.1233113011052,647.768331983728,21.6146917270465,78.4363434846606,19.0129461138498,42.9233641523823,1333.14133112173,4.66953722107317,2.77845951770575,14.6107624319421,1.32744766915515,0.152299479003589,7.58639184684056,0.35156188795305,4.29233641523823,35.7695482106293,10,1e-05,29.1478896243823,3.36439425270639,4.30579950441722,9.24461158739859,1.464257132719,53.875337423794,13.0593656179854,71.5383446795408
"8",0.07,0.921855044126698,4,1.22180837504678,11.0904187528002,0.479625848952025,3.73765703736139,0.124717899444759,0.452581790504654,0.109705687750147,0.29205278147209,7.69229511710112,209.49741970972,1901.61907518679,82.2390645158952,640.877506717948,21.3847593934629,77.6019540009292,18.8106899416663,50.0768413337377,1318.95967615762,4.61986380130344,2.74890281154004,14.4553362659771,1.31332654142474,0.150679360194097,7.50568953923081,0.34782204509147,5.00768413337377,35.389040090905,10,1e-05,29.1478915695589,3.3643943982282,4.30579944823319,9.24461139520898,1.46425718656385,53.8753363416741,13.0593650697775,71.5383445890404
"9",0.08,0.911942623603451,4,1.22180837274335,11.090418638478,0.47962584002302,3.73765706680141,0.124717900131688,0.45258178734418,0.109705694736995,0.337402588680039,7.69229496560158,207.244758734324,1881.17153742638,81.35477192314,633.986355242967,21.1548158444913,76.767523793517,18.6084256293812,57.2306751592535,1304.77728735799,4.57018784529443,2.71934471170946,14.299902223404,1.29920474700921,0.149059145140576,7.42498289515197,0.344082033286057,5.72306751592535,35.0085120631736,10,1e-05,29.1478919619459,3.3643944281682,4.30579964916928,9.24461178793895,1.46425712086548,53.8753359654511,13.0593659014919,71.5383431800947
"10",0.09,0.902030203276145,4,1.2218083521181,11.0904176088246,0.479625761665278,3.73765730818971,0.124717896880377,0.452581815519467,0.109705710712907,0.383749033824617,7.69229364028271,204.992094737958,1860.7238469196,80.4704677322017,627.095239355826,20.9248716367835,75.9330988716928,18.4061628034946,64.3844987317389,1290.59470245675,4.52051194770597,2.68978626479964,14.1444654672032,1.2850829913507,0.147438926401068,7.34427635601929,0.340342030137755,6.43844987317389,34.6279769978377,10,1e-05,29.1478968981608,3.3643946441868,4.3058005724527,9.24461271915854,1.46425717784948,53.8753393194373,13.0593678032644,71.5383308546292
"11",0.1,0.892117784807044,4,1.22180837402827,11.0904187012662,0.479625838431759,3.73765714610794,0.124717900275931,0.452581802049339,0.109705695058784,0.431125524082243,7.69229495035538,202.739438298004,1840.27651617026,79.586189736341,620.204056921051,20.6949285871105,75.0986670920121,18.2038947081201,71.538343038353,1276.41256240198,4.47083590408311,2.66022855601172,13.9890348918634,1.2709612129397,0.145818728014534,7.26357046113283,0.336601990146058,7.1538343038353,34.2474569902784,10,1e-05,29.1478904774788,3.3643943023412,4.30579963002057,9.24461173763568,1.46425715901638,53.8753377159534,13.0593659397977,71.538343038305
"12",0.11,0.882205364976777,4,1.22180837375147,11.0904186877914,0.479625844279152,3.73765704526609,0.124717900235838,0.452581786903193,0.109705691416652,0.479566599736192,7.69229503940177,200.48677782726,1819.82899711474,78.7018996988526,613.31288418652,20.4649849295852,74.2642349723998,18.0016286137438,78.6921782500747,1262.23021521048,4.4211599871082,2.63067044010125,13.8336011732266,1.25683936918995,0.144198523077613,7.18286399829736,0.332861962358354,7.86921782500747,33.8669305880697,10,1e-05,29.1478919057032,3.36439439619839,4.30579956834667,9.24461171889724,1.46425712441318,53.8753359129561,13.0593655062382,71.5383438664365
"13",0.12,0.87229244958652,4,1.22180837181286,11.0904186260873,0.479625840135705,3.7376570499479,0.124717902002974,0.452581788691596,0.109705688609314,0.529111102468774,7.69229496803293,198.234004468757,1799.38044803388,77.8175638097158,606.421384429289,20.2350300696567,73.4297639398636,17.7993525562105,85.8463692597194,1248.04713263299,4.37148154649033,2.60111084837484,13.6781595593719,1.24271686659604,0.142578237400323,7.10215372800119,0.329121748316116,8.58463692597194,33.4863837421836,10,1e-05,29.147892082619,3.36439442199367,4.30579959463637,9.24461211362301,1.46425715467011,53.8753361258476,13.0593651720527,71.5383432027062
"14",0.13,0.862380525312579,4,1.22180837544583,11.0904187723065,0.479625844803507,3.73765711553962,0.124717900535904,0.452581798514,0.109705692871622,0.579789505866867,7.69229505603134,195.98145724858,1778.93397702446,76.9333177670957,599.530583453148,20.0050976758865,72.5953776217912,17.5970978670042,92.9998472270751,1233.86549393802,4.32180804108116,2.57155428998842,13.5227339476892,1.22859583068519,0.14095810498348,7.02145146442731,0.325381920727538,9.29998472270751,33.1058756988016,10,1e-05,29.1478903051567,3.3643943081426,4.30579956576631,9.24461166875687,1.46425715648567,53.8753372951066,13.0593656794379,71.5383440210915
"15",0.14,0.852468105485277,4,1.22180837477646,11.0904187387688,0.479625844958197,3.73765707507296,0.1247179082618,0.452581782370584,0.109705692824288,0.631649032226937,7.69229505498047,193.728796715182,1758.48645473746,76.0490267831519,592.639420907842,19.7751552495403,71.7609454345959,17.3948323668539,100.153681613144,1219.68313177765,4.27213209155181,2.54199615189676,13.3673002221431,1.21447401206502,0.139337912036872,6.94074485104976,0.321641897254092,10.0153681613144,32.7253487120066,10,1e-05,29.1478905848204,3.36439434864266,4.30579971013739,9.24461296497245,1.46425733311266,53.8753353733943,13.0593656738032,71.5383440113184
"16",0.15,0.842555685648957,4,1.22180837487134,11.0904187431863,0.479625848280499,3.7376570378973,0.124717900313495,0.45258178979621,0.109705687099105,0.684728787342138,7.69229510515014,191.476136301972,1738.03893850368,75.1647362942466,585.748259021235,19.5452103381083,70.9265169997998,17.1925659768879,107.30751671989,1205.5007776353,4.22245616180077,2.51243807481342,13.2118664792835,1.20035221013198,0.137717690598882,6.86003881289495,0.317901867165093,10.730751671989,32.3448215092187,10,1e-05,29.1478915361484,3.36439440669734,4.30579955845228,9.24461163660293,1.46425713600089,53.8753362573408,13.0593649922774,71.5383444778963
"17",0.16,0.832642770332258,4,1.22180837314307,11.0904186376242,0.479625843041392,3.73765701437595,0.124717901177488,0.452581784862316,0.109705686713168,0.739075082933551,7.69229501672651,189.223363004993,1717.59038313511,74.2804002651649,578.856754926332,19.3152553268394,70.0920449138399,16.9902903245262,114.461707563944,1191.31769292687,4.17277774845123,2.48287849784139,13.0564246384496,1.18622967888486,0.136097400242944,6.77932837661574,0.314161657644484,11.4461707563944,31.9642749010318,10,1e-05,29.1478927352265,3.36439441903116,4.30579955599327,9.24461205469971,1.46425703579761,53.8753356700101,13.0593649463355,71.5383436555565
"18",0.17,0.822730350349826,4,1.22180837272989,11.090418634376,0.479625842888889,3.73765702614097,0.12471789974845,0.452581787168127,0.109705687667234,0.794728185532624,7.692295003625,186.970702483492,1697.14286559707,73.396109222766,571.965600676427,19.0853114520182,69.2576156512937,16.7880249860687,121.615541724002,1177.13532877875,4.12310178513875,2.45332035917304,12.9009910850094,1.17210791191332,0.134477194226922,6.69862203170895,0.310421636493423,12.1615541724002,31.5837473576485,10,1e-05,29.1478924957413,3.3643945368783,4.30579963123311,9.24461165252965,1.46425715338468,53.8753359444938,13.0593650599075,71.5383435337125
"19",0.18,0.812817930647547,4,1.22180837172827,11.0904185946083,0.479625840241119,3.73765702195131,0.124717901345199,0.452581785111684,0.109705687307194,0.851738677331424,7.69229496430848,184.71804193822,1676.69534312774,72.5118178286772,565.074444165809,18.8553680464164,68.4231857443249,16.5857594511378,128.769375263947,1162.95296111648,4.0734258348887,2.42376226237048,12.7455571836639,1.15798610930458,0.132856987886386,6.61791567311954,0.306681613963757,12.8769375263947,31.2032199764768,10,1e-05,29.1478927972928,3.36439448316549,4.30579963564096,9.24461202588169,1.46425714272259,53.8753356996949,13.0593650170483,71.5383431680688
"20",0.19,0.802905510481559,4,1.22180837286705,11.0904186598747,0.479625842938903,3.73765704136762,0.124717898792226,0.452581791813553,0.109705687162453,0.910156849473996,7.69229501511388,182.465381610908,1656.24783553433,71.6275272012915,558.183290873592,18.6254240044485,67.5887571138739,16.3834939402254,135.923210671208,1148.77060639457,4.02374986692019,2.39420421376821,12.5901235679001,1.14386433142334,0.131236772058081,6.53720944392208,0.302941592152857,13.5923210671208,30.8226927852934,10,1e-05,29.1478921884416,3.36439441796506,4.30579957704027,9.24461157284717,1.46425704438163,53.8753364974854,13.0593649998184,71.5383436405591
"21",0.2,0.792993586490256,4,1.22180837662109,11.0904188311559,0.479625851084123,3.73765707536265,0.124717900668579,0.452581793889408,0.109705689989852,0.970032455505472,7.69229515891866,180.212834423991,1635.80136685511,70.7432816313831,551.292484602827,18.3954921352325,66.7543695444794,16.1812389928,143.076689958002,1134.58897511273,3.97407636465363,2.36464763222264,12.4346980578889,1.12974328071016,0.129616649622633,6.45650711013537,0.299201762144486,14.3076689958002,30.4421851247656,10,1e-05,29.1478903561703,3.36439432811468,4.30579951741808,9.24461158099787,1.46425715799214,53.8753367445951,13.059365336392,71.5383449779436
"22",0.21,0.783080670727899,4,1.22180837167129,11.0904185950541,0.479625839637022,3.7376570312327,0.124717899637686,0.452581785364367,0.109705690645644,1.03142999775397,7.69229495729933,177.960060569213,1615.35279236467,69.8589447014587,544.400977344151,18.16553682901,65.9198969358788,15.9789634813033,150.23087836771,1120.40587399538,3.92439796749312,2.33508796324467,12.2792559675404,1.11562074776755,0.127996363197892,6.37579657942726,0.295461553195167,15.023087836771,30.0616381242467,10,1e-05,29.1478928064912,3.36439444902563,4.30579961329198,9.24461167532791,1.4642571660072,53.8753357297743,13.0593654144575,71.5383431028837
"23",0.22,0.773168250982575,4,1.22180837239122,11.0904186151198,0.479625842148717,3.73765701753954,0.124717899464548,0.452581784941524,0.109705688507492,1.09439875764123,7.692294992977,175.707400271071,1594.90527877692,68.9746540710313,537.509819458426,17.9355931563119,65.0854672787046,15.7766976869489,157.384713438073,1106.22351743174,3.87472201558487,2.30552985389189,12.1238223816326,1.10149895950078,0.126376156940212,6.29509028611883,0.291721527774172,15.7384713438073,29.6811109094355,10,1e-05,29.147892826716,3.36439451803813,4.30579963792461,9.24461154008414,1.46425721970155,53.875335679439,13.0593651599319,71.5383434346861
"24",0.23,0.763256327000295,4,1.22180837821649,11.090418910818,0.479625857510779,3.73765705228759,0.124717900879206,0.452581789078971,0.109705689968258,1.15899983309267,7.69229526608104,173.454853360362,1574.45882691439,68.0904094828762,530.619013156734,17.7056612101424,64.2510800039325,15.5744425275743,164.538195741649,1092.04190376428,3.82504849723881,2.27597336531045,11.9683971033733,1.08737790742823,0.124756024017299,6.21438802022571,0.287981695672449,16.4538195741649,29.3006037871225,10,1e-05,29.1478899810132,3.36439432754051,4.30579956152669,9.24461148581505,1.4642571637945,53.8753361719607,13.0593653338215,71.5383459745537
"25",0.24,0.753343907167299,4,1.22180837753622,11.0904188768518,0.479625856691326,3.73765702469123,0.124717894101698,0.45258179362926,0.109705693297823,1.22530417109724,7.69229526430165,171.202192831375,1554.01130491857,67.2061183356451,523.727853273587,17.4757166083426,63.4166510309339,15.3721775067111,171.692030300437,1077.85954112579,3.77537257782871,2.2464152960655,11.8129629546565,1.07325607102605,0.123135824239215,6.13368186886053,0.28424168806506,17.1692030300437,28.9200766472201,10,1e-05,29.1478915970276,3.3643941949803,4.30579838123472,9.24461053318308,1.46425689161861,53.8753367136271,13.0593657301728,71.5383459580054
"26",0.25,0.743430992110692,4,1.22180837223015,11.0904185960511,0.479625840728312,3.73765701621768,0.124717902181339,0.452581783744515,0.109705686785234,1.29338002254011,7.69229497063102,168.949419122536,1533.56272736003,66.3217809183107,516.836351854932,17.2457625979905,62.5821783570765,15.1699010074493,178.846215559965,1063.67642958212,3.72569415399102,2.21685561152744,11.6575211738105,1.05913356960246,0.121515530949741,6.05297130550227,0.280501459630758,17.8846215559965,28.5395288658579,10,1e-05,29.1478928789433,3.36439450322384,4.30579962887022,9.2446122072374,1.46425712049428,53.8753355369471,13.0593649549143,71.5383432268685
