"","kcat","km","phi","rel_phi","mu","convergence","f.TC","f.TC2","f.ATPS","f.EAA","f.ENT","f.RNAP","f.DNAP","f.R","v.TC","v.TC2","v.ATPS","v.EAA","v.ENT","v.RNAP","v.DNAP","v.R","p.TC","p.TC2","p.ATPS","p.EAA","p.ENT","p.RNAP","p.DNAP","p.R","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.P"
"402",507,1,0.06,213123482387772704,1.10897001085535,4,1.1296183515523,0.0672891955782366,0.393815094294446,0.589886331855741,0.344160941945868,0.243037163205303,0.066145949436776,0.452986248159169,283.113109881838,16.8645041888909,98.7007832432048,147.841572916175,86.2561009568074,60.9117291670766,16.5779755838762,113.530685185678,6.14249350828445,0.0373363816925895,6.1445545955714,17.7364573184113,1.62975064584698,13.1171943041822,0.575994795829768,56.9911105341535,10,1e-05,13.183415545664,16.4132295363249,7.90498942265633,16.2480899505013,54.9263988843985,14.9489845727114,102.374892083972
"403",507,1,0.05,177602901989810560,1.11949517909489,4,0.932498337320733,0.264409209185422,0.393815093747049,0.589886331750703,0.344160941889188,0.243037163133476,0.0661459495044204,0.452986248069223,235.927590850671,66.89709270805,99.6375463524449,149.244728441607,87.0747524527606,61.4898387379544,16.7353161786287,114.60819812561,5.11874457466938,0.148103695163336,6.20287218743503,17.904792971752,1.64521851221227,13.2416888074378,0.581461528606287,57.5320097863683,10,1e-05,13.1834155577686,16.413229534613,7.90498941079177,16.248089893992,54.9263988681656,14.948984587999,102.374892063644
"404",507,1,0.04,142082321591848400,1.13002034768197,4,0.739050324316925,0.457857221808694,0.393815093436717,0.589886331067949,0.344160941759446,0.243037163214232,0.0661459492945008,0.452986247423971,188.742070403233,116.929682796793,100.574309550555,150.647883865332,87.8934039568175,62.0679483665468,16.8926567080128,115.685710958876,4.09499561032656,0.25887101210899,6.26118977608848,18.0731285876548,1.66068637607404,13.3661833428594,0.586928259978305,58.0729089527268,10,1e-05,13.1834157093997,16.4132295101669,7.90498941066136,16.248089891022,54.9263988864163,14.9489845405572,102.374891917817
"405",507,1,0.03,106561741193886256,1.14054551565183,4,0.549172673456114,0.647734872556569,0.393815093640121,0.589886331433092,0.344160941918622,0.243037163331069,0.0661459493326131,0.452986247768999,141.556553186531,166.962269555009,101.511072824678,152.051039473633,88.7120554867217,62.6460579709224,17.049997291105,116.763223981143,3.07124671607859,0.369638321681179,6.31950738961849,18.2414642838488,1.67615424538135,13.4906778515834,0.592394992273059,58.6138081953289,10,1e-05,13.1834155391961,16.4132295141198,7.90498941161646,16.2480898948141,54.9263989128216,14.9489845491706,102.374891995794
"406",507,1,0.02,71041160795924304,1.15107068485757,4,0.362767412026249,0.834140133371072,0.393815092333808,0.589886330971824,0.344160941685317,0.243037163406231,0.0661459490714406,0.45298624733079,94.3710309495442,216.994861536577,102.447835817023,153.454195033448,89.5307070114095,63.2241676328944,17.2073378149971,117.840736927822,2.04749771290924,0.480405642817363,6.37782495685297,18.4097998912275,1.6916221084622,13.6151724028074,0.597861723832517,59.1547074578493,10,1e-05,13.1834158233247,16.4132295128286,7.90498940092797,16.2480897722805,54.9263989298082,14.9489844901456,102.374891896759
"407",507,1,0.01,35520580397962152,1.16159585244123,4,0.17974020759735,1.01716733989603,0.393815095016291,0.589886332118686,0.344160941491652,0.243037163133912,0.0661459492583715,0.452986248106129,47.1855184036139,267.027444097191,103.384599705926,154.857350796989,90.349358419228,63.8022771149085,17.3646784310347,118.918250024937,1.02374891999951,0.591172943096466,6.43614262176643,18.57813564389,1.70708997433477,13.7396668811426,0.603328457094604,59.6956066306608,10,1e-05,13.1834154512972,16.4132296515339,7.90498937645729,16.2480900447325,54.9263988682641,14.948984532392,102.374892071985
"408",507,1,0,0,1.17212102262151,4,1.14559487849558e-17,1.19690754998229,0.393815094670185,0.589886334457549,0.344160942196336,0.243037163938511,0.0661459490397865,0.452986251066768,3.03467339951239e-15,317.060033331913,104.321363036424,156.260507227913,91.1680102660627,64.3803870235242,17.5220189793574,119.995763970453,6.5841040226107e-17,0.701940258151399,6.49446022558381,18.746471400607,1.72255784926721,13.8641614690696,0.60879518878226,60.2365063496283,10,1e-05,13.1834154917613,16.413229573167,7.90498940327688,16.2480898558758,54.9263990501034,14.9489844829918,102.37489274109
"409",50.7,1,0,0,1.10538292158679,4,0.000196936111267191,1.19611759675657,0.392629064787922,0.599034969605713,0.33393575911656,0.238586686269478,0.0623006131882233,0.472305340180707,0.049197897972694,298.809959788096,98.0852345781467,149.648843612804,83.4226760178117,59.6029005203802,15.5637236439182,117.989686039058,0.00106741001518665,6.61536359873819,6.1647221747042,18.1252386946279,1.60424094635756,13.3264347540064,0.561444890449829,60.3424944119405,10,1e-05,12.2897459530146,16.0278309240652,7.46895188290194,15.471934788833,53.9205910969021,14.0799385805385,106.74100688084
"410",50.7,1,0.01,0.164276378774828,1.10560850974711,4,0.197092834202387,0.999221698389484,0.392629064694022,0.599034969452418,0.33393575904962,0.238586686216552,0.0623006131781404,0.472305340032027,49.2470983231797,249.673050907122,98.1052519325455,149.679384128969,83.4397010225912,59.6150643541046,15.5668999088406,118.013765509281,1.06847747841218,5.52751994521262,6.16598027870895,18.1289377150981,1.60456834190342,13.3291544305896,0.561559470905775,60.3548091864073,10,1e-05,12.2897459533211,16.0278309231096,7.46895188201368,15.4719347864554,53.9205910849407,14.0799385782597,106.741006847238
"411",50.7,1,0.02,0.328552757549656,1.10583409785979,4,0.393908399349502,0.80240613297092,0.392629064758876,0.599034969437786,0.333935759048495,0.238586686224921,0.0623006131772668,0.472305340042835,98.4449987120955,200.53614205066,98.1252693223835,149.709924673323,83.456726040217,59.6272282005739,15.5700761753928,118.037845014263,2.1358875460218,4.43967629222972,6.16723839006051,18.1326367540346,1.60489573896536,13.3318741095582,0.561674051400961,60.3671239674094,10,1e-05,12.2897458807374,16.0278309179633,7.46895188006532,15.4719347933209,53.9205910868322,14.0799385780623,106.741006849681
