"reaction","phi","rel_phi","mu","mu_norm","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R"
"TS",0.0772,0.999566037144579,0.930891459776891,0.999999928312556,4,1.2412117162703,12.0605858133349,0.555030062465801,3.587961252064,0.135181611713549,0.405353436625098,0.114961300338089,8.85279324047002
"TS",0.0769418060200669,0.996223006920015,0.930886452736028,0.999994549553892,4,1.24160587937409,12.0802939683479,0.556428829640531,3.58465551618969,0.13524683691514,0.40509795294063,0.114605167360376,8.87681033212971
"TS",0.0766836120401338,0.992879976695451,0.93087337966648,0.999980505952489,4,1.24200113761731,12.1000568769519,0.557833534311734,3.58130746707498,0.135311920321518,0.404836703708928,0.114247178659677,8.90092837298541
"TS",0.0764254180602007,0.989536946470887,0.930852150505508,0.999957700759438,4,1.2423974893104,12.1198744658728,0.559244172880572,3.5779171472269,0.135376858470535,0.404569672676989,0.113887355519176,8.92514724503243
"TS",0.0761672240802676,0.986193916246323,0.930822674451934,0.99992603643257,4,1.24279494023067,12.1397470122297,0.560660824647629,3.57448358125626,0.135441645116318,0.404296734633406,0.113525655655995,8.94946824344322
"TS",0.0759090301003345,0.98285088602176,0.930784859773315,0.999885414429316,4,1.24319349119392,12.1596745517769,0.562083463590685,3.57100726242968,0.13550629085032,0.404017907140134,0.113162120636868,8.97389088990127
"TS",0.0756508361204013,0.979507855797196,0.930738612983247,0.999835734322933,4,1.24359315347407,12.1796576639873,0.563512154256752,3.56748763787218,0.135570792828081,0.403733123349684,0.112796735055862,8.99841636232253
"TS",0.0753926421404682,0.976164825572632,0.930683841320516,0.999776896465706,4,1.24399392018282,12.1996960142658,0.564946888932643,3.563924585982,0.135635155044996,0.403442320870922,0.112429522790609,9.0230444282141
"TS",0.0751344481605351,0.972821795348068,0.930620449714066,0.999708798728595,4,1.24439580412067,12.2197902080157,0.56638772350964,3.56031776259893,0.135699363608814,0.403145481455697,0.112060456838034,9.04777608892882
"TS",0.074876254180602,0.969478765123504,0.930548343562586,0.999631339487184,4,1.24479880030533,12.2399400149759,0.567834669299964,3.55666684000778,0.135763431711676,0.402842508356447,0.111689552606727,9.07261142510924
"TS",0.0746180602006689,0.96613573489894,0.930467424104589,0.999544412648028,4,1.24520292483737,12.2601462419848,0.569287769320654,3.55297185879628,0.135827361880896,0.402533395289047,0.111316820357724,9.09755123953378
"TS",0.0743598662207358,0.962792704674377,0.930377596204307,0.999447916012573,4,1.24560817008485,12.2804085023034,0.570747039673962,3.54923224816842,0.135891147515287,0.402218052186614,0.110942249005284,9.12259571610915
"TS",0.0741016722408027,0.959449674449813,0.930278761004739,0.999341743384771,4,1.24601454246324,12.3007271234659,0.572212508282044,3.54544786275625,0.135954791734068,0.401896443914231,0.110565843541494,9.14774534500018
"TS",0.0738434782608696,0.956106644225249,0.930170818876475,0.999225787738823,4,1.24642204578466,12.3211022900694,0.573684190110622,3.54161868341086,0.136018298815679,0.401568537059823,0.110187617711488,9.17300033272809
"TS",0.0735852842809365,0.952763614000685,0.930053669841446,0.999099941674385,4,1.24683068526794,12.3415342557324,0.575162133631074,3.53774415535307,0.13608166099461,0.401234245357389,0.109807573967063,9.19836152278875
"TS",0.0733270903010033,0.949420583776121,0.929927212889292,0.99896409668219,4,1.24724046172822,12.3620230861006,0.576646341319684,3.53382429570923,0.136144886366941,0.40089355539996,0.109425715167748,9.22382895752138
"TS",0.0730688963210702,0.946077553551558,0.929791345989958,0.998818143157569,4,1.24765137788777,12.382568893143,0.57813684581042,3.52985880028981,0.136207973294211,0.400546397507541,0.109042041277208,9.24940306792237
"TS",0.0728107023411371,0.942734523326994,0.929645964726426,0.998661968931687,4,1.24806344267976,12.403172127522,0.579633688035692,3.52584735475355,0.136270925649801,0.400192721641115,0.108656550953024,9.27508464230488
"TS",0.072552508361204,0.93939149310243,0.929490966770681,0.9984954640798,4,1.24847665331223,12.4238326674293,0.581136868914819,3.52178987496178,0.136333737026598,0.399832479255025,0.108269279336079,9.30087364661497
"TS",0.0722943143812709,0.936048462877866,0.929326247078373,0.998318515759166,4,1.24889101406701,12.4445507016453,0.582646428883334,3.51768594230555,0.136396411803498,0.399465616686601,0.107880192731219,9.32677070256663
"TS",0.0720361204013378,0.932705432653302,0.92915169739032,0.99813100767355,4,1.24930653414476,12.465326706035,0.584162400411844,3.51353539711408,0.136458956933685,0.399092078147421,0.107489314229154,9.35277646713079
"TS",0.0717779264214047,0.929362402428739,0.92896721292608,0.99793282726371,4,1.24972320799467,12.4861604004973,0.585684784136259,3.5093381873231,0.136521364844803,0.398711832699981,0.107096656029818,9.3788907023907
"TS",0.0715197324414716,0.926019372204175,0.928772685072484,0.997723857853143,4,1.25014104403476,12.5070522022333,0.587213622407725,3.50509385637262,0.136583639776378,0.398324805169287,0.106702215154952,9.40511431415636
"TS",0.0712615384615385,0.922676341979611,0.92856800475805,0.997503982273008,4,1.25056004424243,12.5280022141946,0.588748935271245,3.50080225614225,0.136645781096555,0.397930957185253,0.106305996669373,9.43144755786264
"TS",0.0710033444816054,0.919333311755047,0.928353062091278,0.997273082473568,4,1.25098021211462,12.549010604572,0.59029075611374,3.49646303057327,0.136707789712222,0.397530217689206,0.105908003331987,9.45789097555333
"TS",0.0707451505016722,0.915990281530483,0.928127745898194,0.997031039027402,4,1.25140154945215,12.5700774735495,0.591839075866108,3.49207641775226,0.136769670487067,0.397122587285414,0.105508267305105,9.48444442373788
"TS",0.0704869565217391,0.91264725130592,0.927891944476824,0.996777731939889,4,1.25182406052902,12.5912030259849,0.59339395116616,3.48764171760063,0.136831420763012,0.396707960301128,0.105106769208474,9.51110883551318
"TS",0.070228762541806,0.909304221081356,0.927645544552496,0.996513039526959,4,1.25224774774979,12.6123873899508,0.594955395036118,3.48315888178306,0.136893041025344,0.39628630962998,0.104703522494511,9.53788439384202
"TS",0.0699705685618729,0.905961190856792,0.927388431830207,0.99623683900846,4,1.25267261388757,12.6336306926561,0.596523432109879,3.47862769721862,0.136954533797555,0.395857576607333,0.104298537062153,9.56477144698219
"TS",0.0697123745819398,0.902618160632228,0.927120496349914,0.995949012261022,4,1.25309865369627,12.6549326994938,0.598098062030635,3.4740479005672,0.137015901719576,0.395421705802539,0.103891816387782,9.59177001569855
"TS",0.0694541806020067,0.899275130407664,0.926841609057141,0.995649420649292,4,1.25352589270057,12.6762946364225,0.599679358888119,3.46941943881535,0.13707714564036,0.394978683021674,0.103483366288693,9.61888144029736
"TS",0.0691959866220736,0.895932100183101,0.926551665111589,0.995337951549729,4,1.25395431303743,12.6977156444435,0.601267305983379,3.46474185727839,0.137138260338464,0.394528398495323,0.103073211814816,9.64610528787752
"TS",0.0689377926421405,0.892589069958537,0.926250542461212,0.995014473849266,4,1.25438392194576,12.7191961026349,0.602861919048471,3.46001524060986,0.137199254635618,0.394070855712051,0.102661350830065,9.67344186144317
"TS",0.0686795986622074,0.889246039733973,0.925938122431149,0.994678860062733,4,1.25481472385572,12.740736188054,0.60446323366398,3.45523920648285,0.137260126411182,0.393605975780965,0.102247793390122,9.70089173979418
"TS",0.0684214046822743,0.885903009509409,0.925614284417161,0.994330980632354,4,1.25524672028983,12.7623360126123,0.606071271132947,3.45041354596304,0.137320877423529,0.393133709142845,0.101832544786881,9.72845525158393
"TS",0.0681632107023411,0.882559979284845,0.925278907832591,0.993970706019233,4,1.25567991423047,12.7839957100092,0.607686044375135,3.44553815648061,0.137381508217237,0.392654019668057,0.101415623776155,9.75613264254823
"TS",0.067905016722408,0.879216949060282,0.924931869202924,0.993597903582232,4,1.25611430728277,12.8057153670776,0.609307575498605,3.44061283989767,0.137442022388069,0.392166853875031,0.100997025940212,9.78392419879263
"TS",0.0676468227424749,0.875873918835718,0.924573048084326,0.993212443935882,4,1.25654990112905,12.8274950562714,0.610935884724329,3.43563732379624,0.137502414099488,0.391672145142847,0.10057678601157,9.81183028448126
"TS",0.0673886287625418,0.872530888611154,0.924202314955676,0.992814187943543,4,1.25698670256238,12.8493351273534,0.612571008337884,3.430611386251,0.13756269387281,0.39116985332532,0.100154883060915,9.83985148125007
"TS",0.0671304347826087,0.86918785838659,0.923819548959817,0.992403005775742,4,1.25742470998433,12.8712354896282,0.614212935816814,3.42553503542407,0.137622858507832,0.39065995040763,0.0997313489048158,9.86798768869106
"TS",0.0668722408026756,0.865844828162026,0.923424622981041,0.991978760879823,4,1.2578639251769,12.8931962570767,0.615861701277506,3.42040792264643,0.137682907245355,0.390142356829531,0.0993061978251775,9.89623938258114
