"reaction","phi","rel_phi","mu","convergence","f.TS","f.AAS","f.R","v.TS","v.AAS","v.R","p.TS","p.AAS","p.R","c.x_S","c.S","c.AA","c.P"
"TS",0.257,0.999944469276151,1.51228548297289,4,1.00000000007385,0.847406222302136,0.775879085372684,514.177064248757,435.716843577263,398.939230299475,67.7965782358708,79.480681366598,116.521629424244,100,51.8818844423833,24.3192265560136,263.798889026713
"TS",0.25648496993988,0.997940572544135,1.51228074117773,4,0.999999999530187,0.848151408403514,0.776782925084084,514.175451758863,436.098633780677,399.402711611325,67.7395336843148,79.6454660685382,116.721194775736,100,51.6285209830691,24.2652843286061,264.106194528589
"TS",0.25596993987976,0.995936675812118,1.5122669340851,4,0.99999999999955,0.848895822504048,0.777686655818055,514.170757588703,436.477408170988,399.863736988774,67.6821626392166,79.8105526030936,116.920747735828,100,51.3754203484708,24.2111166732377,264.413462978139
"TS",0.255454909819639,0.993932779080102,1.51224399266663,4,0.999999999946549,0.849639445739771,0.77859025871574,514.162957479171,436.853130235875,400.322270107156,67.6244641764214,79.9759398099959,117.120283976934,100,51.1225884303042,24.1567235881706,264.720687963352
"TS",0.254939879759519,0.991928882348086,1.51221184783531,4,1.00000000022642,0.850382266601691,0.779493722142984,514.152028380418,437.225767173001,400.778278258874,67.5664371585943,80.1416281306971,117.319800239323,100,50.8700294324073,24.1021051159603,265.027865528615
"TS",0.254424849699399,0.989924985616069,1.51217042988389,4,1.00000000000339,0.851124270643952,0.780397030675401,514.137946162263,437.595284436253,401.23172654122,67.508080407375,80.3076176908961,117.519292331365,100,50.6177479822084,24.0472615893072,265.334990429636
"TS",0.253909819639279,0.987921088884053,1.5121196688327,4,0.999999998853399,0.851865443540832,0.781300168596659,514.120686813626,437.961647408174,401.682579747086,67.4493927884319,80.4739086775841,117.718755856848,100,50.3657488062726,23.9921934810189,265.642057322864
"TS",0.253394789579158,0.985917192152037,1.51205949452099,4,1.00000000005961,0.852605778454833,0.782203130227354,514.100228167782,438.324825214671,402.130807699465,67.3903731275669,80.6405021325802,117.918189017153,100,50.1140353456238,23.9369003973429,265.9490642773
"TS",0.252879759519038,0.98391329542002,1.51198983596239,4,0.999999999971341,0.853345253569414,0.783105892280404,514.07654421248,438.684778987659,402.576370867479,67.3310203643516,80.8073967687983,118.117586242188,100,49.8626137766553,23.8813828382633,266.256003375337
"TS",0.252364729458918,0.981909398688004,1.51191062211691,4,0.99999999988678,0.854083858413325,0.784008443034958,514.049611461549,439.041475622659,403.019235570324,67.2713332888808,80.974593518348,118.316943824657,100,49.6114881009745,23.8256412286449,266.562870631886
"TS",0.251849699398798,0.979905501955987,1.51182178151518,4,1.00000000002895,0.854821579294644,0.784910768149337,514.019405730038,439.394880181527,403.459366583552,67.2113107687002,81.1420924835719,118.516257918502,100,49.3606630496623,23.7696757894046,266.869661170775
"TS",0.251334669338677,0.977901605223971,1.51172324232034,4,0.99999999999064,0.855558400876265,0.785812851816064,513.985902384104,439.744956720804,403.896727749486,67.1509516955365,81.3098933770837,118.715524544842,100,49.1101436988875,23.7134866804684,267.176369617462
"TS",0.250819639278557,0.975897708491955,1.51161493224111,4,0.999999999991587,0.856294310590374,0.786714679754598,513.949076957654,440.091670535716,404.331283492313,67.0902548260508,81.477996864473,118.914739426039,100,48.8599343964126,23.6570744841639,267.482991116563
"TS",0.250304609218437,0.973893811759938,1.51149677872937,4,0.999999999988933,0.857029293871529,0.787616236390269,513.908904762297,440.434985767597,404.762997420806,67.0292190253932,81.6464029415589,119.113898405739,100,48.6100400799173,23.6004395436283,267.789520372691
"TS",0.249789579158317,0.971889915027922,1.51136870888331,4,1.0000000000012,0.857763335763447,0.78851750667075,513.865361020944,440.774866202083,405.191833236213,66.9678431870388,81.8151112640364,119.31299781698,100,48.3604658408364,23.5435818915171,268.095952268055
"TS",0.249274549098196,0.969886018295906,1.51123064940295,4,1.00000000005431,0.858496422102697,0.789418475254539,513.818420824908,441.111275864686,405.617754303266,66.9061261332184,81.9841219616338,119.512033491691,100,48.1112165035471,23.4865019283737,268.402281586543
"TS",0.248759519038076,0.96788212156389,1.51108252661696,4,1.00000000000007,0.859228539039776,0.790319125887526,513.768059049803,441.444178782632,406.040723337142,66.8440666266177,82.1534355837859,119.711000591355,100,47.8622967265007,23.429200471765,268.708502801759
"TS",0.248244488977956,0.965878224831873,1.5109242666533,4,0.999999999930559,0.85995967131824,0.791219442754832,513.714250626449,441.773538150895,406.4607031441,66.7816635674593,82.3230517925718,119.909895176612,100,47.6137117281883,23.3716777115589,269.014610536643
"TS",0.247729458917836,0.963874328099857,1.51075579511437,4,1.00000000000036,0.860689805063709,0.792119410673261,513.65697033907,442.09931767059,406.877656633051,66.7189157422105,82.492970812549,120.108713074149,100,47.3654662784616,23.3139340927522,269.320599628909
"TS",0.247214428857715,0.961870431367841,1.5105770374355,4,1.00000000012193,0.861418925166872,0.793019012945886,513.59619279069,442.421480309611,407.291545809978,66.6558219943186,82.6631926240616,120.307449783221,100,47.117565484719,23.2559701551354,269.626464401601
"TS",0.246699398797595,0.959866534635824,1.51038791872671,4,0.999999999993956,0.862147016032944,0.79391823261421,513.531892363977,442.739988642029,407.702332379103,66.5923811643947,82.8337170469903,120.506100877446,100,46.8700145467443,23.1977863623695,269.932199088831
"TS",0.246184368737475,0.957862637903808,1.51018836416248,4,0.999999999385078,0.862874061665365,0.794817050343038,513.464043499502,443.054805005981,408.109976762439,66.5285921413498,83.0045442585578,120.704660716725,100,46.6228188247023,23.1393838495913,270.237797116633
"TS",0.245669338677355,0.955858741171791,1.50997829670275,4,1.00000000004172,0.863600052831851,0.795715460665996,513.392620900352,443.365894514531,408.514445825205,66.4644534912036,83.1756742668878,120.903128868347,100,46.3759820513542,23.0807613363906,270.543256626439
"TS",0.245154308617234,0.953854844439775,1.50975764191401,4,1.00000000001107,0.864324968729248,0.796613435222541,513.317598256442,443.673217056262,408.915695302723,66.3999642490115,83.3471072170304,121.101496509622,100,46.1295106358181,23.0219213922803,270.848567975664
