"","convergence","mu","x_C","x_W","C","AA","NT","ATP","ADP","RNA","DNA","P","tau TC","tau ATPS","tau EAA","tau ENT","tau ADPS","tau RNAP","tau DNAP","tau Q","tau R","v TC","v ATPS","v EAA","v ENT","v ADPS","v RNAP","v DNAP","v Q","v R","p TC","p ATPS","p EAA","p ENT","p ADPS","p RNAP","p DNAP","p Q","p R","q TC","q ATPS","q EAA","q ENT","q ADPS","q RNAP","q DNAP","q Q","q R"
"1",4,1.09568847859374,10,1e-05,24.6514896862755,12.9683649709634,8.09803886388183,15.6301052353208,2.39803872344412,61.8282129672235,20.3513190171273,143.074430645955,0.0169491525423729,0.00106811673677388,0.0890983332601861,0.00251134873388184,0.00228583252934561,0.12633119926866,0.0219358356144569,0.1,0.0154843121495834,397.250373661269,4029.82016134719,202.327294373042,1025.95409727106,45.3659031437049,105.850719687855,34.8417277675814,486.453067428823,3135.30010480264,6.73305718069948,4.30431836052376,18.027024701681,2.57652852320256,0.103698857129023,13.3722483616175,0.764282412833322,48.6453067428823,48.5479655053856,1.2545251628074,12.7262581213062,0.638953916076501,3.23998494714917,0.143266490859968,0.334278833084037,0.110030920291562,1.53622917453735,9.90134468138094
"2",4,1.09391665363896,8,1e-05,24.6097506266492,12.9601258015477,8.08220782722242,15.6100495164813,2.39451274299878,61.794673039456,20.3126627398621,143.236018377867,0.0173343605546995,0.00106859714898209,0.089123814966991,0.00251226104313579,0.00228632465495089,0.126442768779226,0.0219552082671152,0.1,0.0154907353151751,396.660477233066,4025.92817981019,202.20321653295,1023.53554591612,45.2889576166273,105.622221787555,34.7193125795105,487.002464896698,3133.76531808969,6.87585573015715,4.30209537495182,18.0211220560131,2.57138847826979,0.103545260395921,13.3551661674319,0.762269738574226,48.7002464896698,48.544329082403,1.25469120368248,12.7345600678469,0.639596359359819,3.23758256702428,0.143255151463309,0.334097496969377,0.109821922252715,1.54045523552009,9.91252722338178
"3",4,1.09171236793101,6.4,1e-05,24.557966581495,12.9498632408573,8.06256910152891,15.5851509067313,2.39013484895289,61.7528177475789,20.2646708735537,143.43682656196,0.0178158705701079,0.00106919564536667,0.0891555495350535,0.00251339731098079,0.00228693783260323,0.126581903053595,0.0219793671968854,0.1,0.0154987557061552,395.926275865374,4021.07008416251,202.04763495242,1020.53035216493,45.1932812647556,105.337992015034,34.5674872261092,487.685213452798,3131.83515148934,7.05377128612232,4.29931062370074,18.0136679264409,2.56499824290561,0.103354224703848,13.3338834931074,0.759771494816299,48.7685213452798,48.539547924883,1.2548974931166,12.7448746795918,0.640394654377887,3.23459456632939,0.143241150744285,0.333871203220042,0.109562450657189,1.54572956910808,9.92642398352664
"4",4,1.08897325658661,5.12,1e-05,24.4938511816244,12.9370953999889,8.0382518674502,15.5543019680383,2.38471029109077,61.7005890889374,20.2051752821249,143.68602473365,0.0184177580893683,0.00106994042491014,0.0891950269868699,0.00251481091892668,0.0022877012386459,0.126755340542123,0.0220094824515473,0.1,0.0155087693666143,395.013436228792,4015.00826395029,201.852436844721,1016.80145847471,45.0744811712539,104.984830364832,34.3795242607481,488.532490418065,3129.40476560372,7.27526191051199,4.29581964794868,18.0042335517303,2.55706341015276,0.103116946406799,13.3073879246512,0.756675535909478,48.8532490418065,48.5332167645319,1.2551534124409,12.7576706544149,0.641385207890548,3.23088204938988,0.14322396067392,0.333588825091574,0.109240783315987,1.55230978543558,9.94366953174045
"5",4,1.08557445631508,4.096,1e-05,24.4146383371648,12.9212258472746,8.00821040147832,15.5161603971892,2.37800375896333,61.6354593477784,20.131572822653,143.994729180707,0.0191701174884438,0.00107086629175973,0.0892440866401247,0.0025165677673028,0.00228865075076994,0.126971378703873,0.0220469947812809,0.1,0.0155212664791958,393.879982688792,4007.44823562746,201.60735253518,1012.18304842402,44.9272057152445,104.546687923742,34.147376908936,489.582081096013,3126.33999685167,7.55072554449034,4.29144123150546,17.9922640369357,2.54722723427419,0.10282268309019,13.2744371046011,0.752847040505744,48.9582081096013,48.5247561957029,1.25547032409034,12.773516188391,0.642612113716688,3.22627662154565,0.143202945056381,0.333236696300705,0.108842846143236,1.56051538802894,9.9650331612946
"6",4,1.08136454540078,3.2768,1e-05,24.3170462153634,12.9015290526038,7.97119995071543,15.4691207916363,2.36973179026171,61.5542892033342,20.0407393579435,144.376344070926,0.0201105667372881,0.00107201587043714,0.0893049687760947,0.00251874821848372,0.00228983036953961,0.127240270406347,0.0220936844685292,0.1,0.0155368573747451,392.47486928342,3998.02575973,201.299407706403,1006.47546240897,44.7449852105607,104.004103065362,33.8614765707781,490.879574386831,3122.46919345765,7.89289205143266,4.28594706484706,17.9770373198667,2.53505827789018,0.102458426019743,13.2335101974062,0.748124778993265,49.0879574386831,48.5133585157867,1.25586189797737,12.7930948239927,0.644128518815621,3.2205735536555,0.14317737630973,0.332797843876158,0.108351748258777,1.57074249134303,9.99144249625782
"7",4,1.07616135639316,2.62144,1e-05,24.1972236239311,12.8771278784892,7.92575863308256,15.4112908108289,2.35956172933506,61.4532090364281,19.9289768363588,144.846851289584,0.0212861282983436,0.0010734408897112,0.0893803908700255,0.0025214497898194,0.00229129376885688,0.127574619002329,0.0221517399281611,0.1,0.0155562978842428,390.736463811058,3986.29159938661,200.912168147856,999.440993185696,44.5200755206675,103.333701236492,33.5106167870996,492.479296673263,3117.57167906155,8.31726649952328,4.27904840109386,17.9576081195997,2.52004028220496,0.102008571629543,13.182757565346,0.742318467900099,49.2479296673263,48.4978737149606,1.25634439344197,12.8172197001197,0.64599774887886,3.21352677484457,0.143146474558489,0.332251346433975,0.107747495871317,1.58348058235201,10.0240035494522
"8",4,1.06974774412985,2.097152,1e-05,24.0507008285189,12.8469600182743,7.87019618365915,15.3404663876746,2.34710535821571,61.3274742244043,19.7919701429533,145.425126606825,0.0227555802496629,0.00107520408368102,0.0894736407233416,0.00252479047454804,0.00229310607457227,0.127989855768019,0.022223840608642,0.1,0.0155805222797573,388.590989827286,3971.69460203185,200.424847851413,990.8001036282,44.2432972368929,102.507698757403,33.0818990817337,494.445439270587,3111.36402254896,8.84261345331076,4.27038225523851,17.9327408286877,2.50156266382169,0.101454573653026,13.1199455790715,0.73520685222363,49.4445439270587,48.4766764737594,1.25693698211648,12.8468491489858,0.648294505005066,3.20484345941383,0.143109433732726,0.331571551818795,0.107006758990881,1.5993339385822,10.0640226025484
"9",4,1.06186803336018,1.6777216,1e-05,23.872410143106,12.8097603704249,7.80259674858102,15.2541273651961,2.33191851250486,61.1712945031385,19.6247656952418,146.133127777962,0.0245923951888121,0.00107738078301023,0.0895886521225469,0.0025289115622572,0.00229534580022218,0.128504806455676,0.0223132553668285,0.1,0.0156106816027992,385.951105888663,3953.56215311811,199.811191455187,980.229183526594,43.9039143897455,101.493503425225,32.5607989905638,496.852620042178,3103.48194004714,9.49146211957307,4.25949188820602,17.9008153214703,2.47891291588233,0.100774665507816,13.0424030141671,0.72653742282442,49.6852620042178,48.4474684261135,1.25766188704832,12.8830941593096,0.651105583750795,3.19417891511242,0.143065478962881,0.330727154536865,0.106102755705244,1.61904602467289,10.1130192233884
"10",4,1.05222546313338,1.34217728,1e-05,23.6567348481212,12.7640348087024,7.72084219365672,15.1494556800581,2.31350652757191,60.9776414173414,19.4217996574971,146.995984748812,0.0268884138627486,0.00108006066123552,0.0897300964604342,0.00253398093953428,0.00229810691587487,0.129142329713766,0.0224239533216551,0.1,0.0156481908523929,382.71474719468,3931.07942367738,199.038144195317,967.360761792303,43.489573111542,100.253479658037,31.9314252179588,499.786351286739,3093.45836262133,10.2905925139477,4.24580424170634,17.8597118779516,2.45127373203506,0.0999436887360805,12.9469679249505,0.71602878858143,49.9786351286739,48.4070268522294,1.25854441661105,12.9272208510091,0.654530160924834,3.18113293131871,0.143013980573075,0.329680154721785,0.105005404722627,1.6435304009604,10.1727325085683
