"reaction","phi","rel_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"TS",0.0746,0.999808777652488,1.00545647585518,4,1.23036577223029,11.5182886111832,0.513816521543451,3.64177480338688,0.129276408978378,0.428274709903176,0.109586100584237,8.23434596028561,253.601242838698,2374.13326435104,105.907130542385,750.63744223267,26.6462695294357,88.275374006015,22.5877311717083,1697.25167639122,6.29647704079763,3.49617402798845,17.9694379932485,1.75896893553829,0.212476579861485,9.90004643259364,0.446883280835616,44.3215818020638,10,1e-05,28.8435765139069,4.04993160489452,5.08399860143176,10.5644341331375,1.48867471911215,56.1896419392967,14.3776963966519,84.4020460929275
"TS",0.074450501002004,0.997805152847573,1.00545481840522,4,1.2305935788886,11.5296789445572,0.51461756305485,3.64004828827737,0.129321710542931,0.42813491153438,0.109395961148691,8.24803108271747,253.647779895375,2376.4771061414,106.072065223938,750.280338588613,26.655563082908,88.2464134945959,22.5485027314595,1700.06963186724,6.29430250244332,3.50141888755928,18.0102486618924,1.7591086984414,0.212489216375051,9.9059560634465,0.446519956592177,44.412274611104,10,1e-05,28.7689975673395,4.04581810881926,5.07510126707308,10.5554071888981,1.48830677347687,56.1713003933107,14.3527501027083,84.5423185978541
"TS",0.074301002004008,0.995801528042658,1.00545033264208,4,1.23082179949782,11.5410899748713,0.515420714918043,3.63830811414639,0.129366999569857,0.427993184089408,0.109205254640108,8.26175193200928,253.693688484283,2378.81851462873,106.237135499318,749.918311242686,26.6647790138361,88.2168073088038,22.5090942188526,1702.89015179024,6.29211326063632,3.50667342568545,18.051175993224,1.75924026014063,0.212501316995983,9.91184745743175,0.446154342002764,44.5032512469783,10,1e-05,28.6944488652701,4.04169779448468,5.06618619463043,10.5463417894399,1.48793289184916,56.1527057525303,14.3277294087821,84.6829573030952
"TS",0.074151503006012,0.993797903237744,1.00544300018526,4,1.23105043495221,11.5525217476173,0.516225958756555,3.63655468845841,0.129412283526241,0.427849564118435,0.109013998465368,8.27550813183652,253.738963753032,2381.15743575409,106.402334232869,749.551433541782,26.6739182949369,88.1865616219146,22.4695091442382,1705.71310344689,6.28990881184266,3.51193778139616,18.0922227413889,1.75936400352011,0.212512774583423,9.91772010088833,0.445786440025885,44.5945056976788,10,1e-05,28.6199212691857,4.03757152350461,5.05725666289594,10.537239402799,1.48755337926882,56.1338628123387,14.3026365986563,84.8239583513243
"TS",0.074002004008016,0.991794278432829,1.00543280260498,4,1.23127948744693,11.5639743698003,0.517033307828549,3.63478781619439,0.129457557699651,0.427704032852444,0.10882219188757,8.28929999837406,253.783601100027,2383.4938277755,106.567660784687,749.179654686707,26.6829793865531,88.1556712094387,22.429747281903,1708.53849644474,6.28768926372659,3.51721194110623,18.1333870226399,1.75947968778876,0.212523664070791,9.92357427712383,0.44541627316298,44.6860428537151,10,1e-05,28.545419186612,4.03343812485164,5.04831004063985,10.5280989791393,1.48716800997291,56.1147691102407,14.2774715756492,84.9653249833342
"TS",0.07385250501002,0.989790653627914,1.00541972123788,4,1.23150895653815,11.5754478274466,0.517842784851225,3.6330071787965,0.129502822210181,0.427556548762062,0.108629812466237,8.30312784296997,253.82759531583,2385.82762321437,106.733116419984,748.802898316962,26.6919617382461,88.1241261443052,22.3898039324251,1711.36633866267,6.2854546839917,3.52249582368116,18.1746698511958,1.75958709925392,0.212533972490969,9.92940977169521,0.445043776213528,44.7778654119199,10,1e-05,28.4709464631382,4.02929842597049,5.03934700923523,10.5189204065621,1.48677670928893,56.0954191975825,14.2522313955703,85.1070603904422
"TS",0.073703006012024,0.987787028822999,1.00540373752707,4,1.23173884345339,11.5869421723525,0.518654379516435,3.63121297417073,0.129548079476176,0.427407124421611,0.108436881525711,8.31699151564458,253.87094155739,2388.15876815161,106.898695588375,748.421194677551,26.7008652754344,88.0919276695332,22.3496834242047,1714.19654273605,6.28320482549028,3.52778944766586,18.2160715116148,1.75968637689471,0.212543695724567,9.93522608260996,0.444668993865926,44.8699721014909,10,1e-05,28.3964996824881,4.02515215844079,5.03036783213297,10.5097040440984,1.4863796684954,56.0758147241154,14.2269188561733,85.249163035357
"TS",0.0735535070140281,0.985783404018084,1.00538483253283,4,1.23196915123341,11.5984575608205,0.519468094565694,3.62940528676902,0.129593324598113,0.427255775172512,0.108243406242538,8.33089109666811,253.913635253674,2390.48722904706,107.064395368521,748.034550418568,26.7096884044315,88.0590775739525,22.3093871658771,1717.02906776495,6.28093951510092,3.53309308306394,18.2575921860609,1.75977753496163,0.212552788821071,9.94102343906847,0.444291942974596,44.9623632507966,10,1e-05,28.3220769304646,4.02099889694955,5.02137218695502,10.500449204754,1.48597644185904,56.0559577026336,14.201534899021,85.3916337408482
"TS",0.0734040080160321,0.98377977921317,1.00536298736296,4,1.23219987963924,11.6099939747698,0.520283953037833,3.62758377332746,0.129638564311443,0.427102451997402,0.108049361396521,8.34482691395788,253.955671164589,2392.8129362768,107.230217007141,747.642884148687,26.7184319301874,88.0255643952812,22.2689098950346,1719.86392362492,6.2786588331089,3.53840645571401,18.2992326653854,1.75986035890449,0.212561296624647,9.94680161486958,0.443912553899953,45.0550420895613,10,1e-05,28.2476823364672,4.01683933107379,5.01236054150482,10.4911566207202,1.48556741437277,56.0358417020591,14.1760762152235,85.5344758680683
"TS",0.0732545090180361,0.981776154408255,1.00533818304995,4,1.23243102755767,11.6215513770551,0.521101945853124,3.62574852846203,0.129683793183305,0.426947157195728,0.1078547699307,8.35879883644886,253.997043845737,2395.13581585419,107.396155102693,747.246204749007,26.7270941470355,87.9913872510662,22.228256279257,1722.70102511668,6.27636265152666,3.54372960739038,18.3409925649846,1.7599348756388,0.212569205374216,9.95255995478832,0.443530882154994,45.1480083317428,10,1e-05,28.1733154714609,4.01267321156947,5.00333252010056,10.4818254653467,1.48515242233079,56.0154670240795,14.1505458149079,85.6776880736008
