"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.25,0.001,"LAC",0,0.655468116100475,1,4,1.28185634285787,1.40854136689525e-16,14.0928171370334,0.73573939308994,2.97001856765544,0.139449776000128,0.334832819691085,0.0726526226285021,11.6144004323154,189.888807449175,2.08655394103103e-14,2087.65065965531,108.989339348083,439.966059423347,20.6575033241888,49.6007256821248,10.7624539565982,1720.50843264742,47.4722018622938,1.96136070456917e-13,3.73143874255626,16.8513868141727,1.35841009988862,0.0785212965484222,9.47383749151142,0.332304349531792,51.9446242286607,0.25,1e-05,0.001,12.3541980296531,8.7858329761299,3.92523795486896,9.53868323055271,1.21462857301478,48.4302190401186,10.5084753369865,131.242724885164
0.25,0.001,"LAC",0.005,0.65227793902061,0.995132979009195,4,1.28138267948794,0.000473561030726173,14.0928120261433,0.735738975227108,2.97002046968335,0.139449769600888,0.334833049392663,0.0726527347420537,11.6143931276624,188.89478963972,0.0698099113656949,2077.48926665239,108.45882434653,437.825015763982,20.5569618785495,49.3593517704861,10.7100893944773,1712.13360517681,47.2236974099301,0.656213166837532,3.71327485002046,16.7693570533827,1.35179913920463,0.0781391083835821,9.42772476618312,0.330687182893519,51.6917496657492,0.25,1e-05,0.001,12.3542119898724,8.78583759022466,3.92524382395646,9.53869040713543,1.21463002803177,48.4302522641548,10.5084915530907,131.242642342585
0.25,0.001,"LAC",0.01,0.649087760364973,0.990265955614348,4,1.28090445516808,0.000951777235455941,14.0928116385621,0.735738960131084,2.97002041717852,0.139449767429003,0.334833042792578,0.0726527331950931,11.6143927758172,187.900785314524,0.139619851633033,2067.32856888065,107.928368768911,435.683681586371,20.4564210126031,49.1179427443878,10.6577079715233,1703.75980403707,46.9751963286309,1.31242660535051,3.69511359869642,16.687339642341,1.34518761227574,0.0777569420395377,9.3816152797697,0.329069844516591,51.4389325131139,0.25,1e-05,0.001,12.354215483695,8.78583894954399,3.92524390147753,9.53869070307562,1.21462987351592,48.4302513095185,10.5084913293383,131.242638366734
0.25,0.001,"LAC",0.015,0.645897584229269,0.98539893606398,4,1.28042151552757,0.00143471705216117,14.092811628119,0.735738960780082,2.97002042013139,0.139449768592246,0.334833042907415,0.0726527332394194,11.6143927640583,186.906782990424,0.209429742837817,2057.16793474565,107.397915930413,433.542357271229,20.3558807160442,48.8765348986919,10.6053268244608,1695.38605966251,46.7266957476059,1.96863958267548,3.67695236431118,16.6053237345145,1.33857621102593,0.0773747786953082,9.33550601404613,0.327452514490868,51.1861172864941,0.25,1e-05,0.001,12.354215373299,8.78583925566728,3.92524372940962,9.53869024753273,1.21463050227772,48.4302513261285,10.5084913357496,131.242638233859
0.25,0.001,"LAC",0.02,0.64270740679428,0.980531914531386,4,1.27993378329272,0.00192245135841349,14.0928117342629,0.735738965912925,2.97002043909287,0.139449768161586,0.334833043873347,0.0726527335214524,11.6143928546197,185.912780536631,0.279239662359421,2047.00731342199,106.867463526225,431.401034404997,20.2553401453424,48.6351270781335,10.552945690528,1687.01232675668,46.4781951341577,2.62485282617855,3.65879167040659,16.5233083267717,1.33196484249217,0.076992611641498,9.2893964157623,0.325835173037237,50.9333022567551,0.25,1e-05,0.001,12.354213795532,8.78583918767773,3.92524435890464,9.5386904035452,1.21463014704239,48.4302514658408,10.5084913765429,131.242639257203
0.25,0.001,"LAC",0.025,0.639517229740045,0.975664893579682,4,1.27944118502332,0.00241505165778062,14.0928118345922,0.735738966321098,2.97002045428584,0.139449768497904,0.334833047488549,0.0726527346418162,11.6143929422788,184.918778191084,0.349049574965031,2036.84669231758,106.337010495085,429.25971122233,20.1547996981134,48.3937196678963,10.5005646836051,1678.63859430021,46.2296945477711,3.28106600467129,3.64063086148147,16.4412923717179,1.32535343511928,0.0766104487897373,9.24328729185027,0.32421784939529,50.6804874369539,0.25,1e-05,0.001,12.3542137349813,8.78583809126777,3.92524386504539,9.53869070591593,1.21462982527689,48.4302519887437,10.5084915385923,131.24264024775
0.25,0.001,"LAC",0.03,0.636327053182736,0.970797873386103,4,1.27894364416773,0.00291259097899977,14.092811934765,0.735738969530526,2.97002047187913,0.139449769251253,0.334833049600803,0.0726527352084915,11.6143930299739,183.92477550329,0.418859458263342,2026.6860726287,105.806557948832,427.118388696494,20.0542593260336,48.1523120739109,10.4481836036,1670.26486302689,45.9811938758225,3.93727890767541,3.62246992284423,16.3592769615475,1.31874207371087,0.0762282846501423,9.19717797957037,0.322600518120682,50.4276727147635,0.25,1e-05,0.001,12.354212066347,8.78583762745259,3.92524384480623,9.53869044519954,1.21463006069829,48.4302522942601,10.5084916205562,131.242641238705
0.25,0.001,"LAC",0.035,0.633136875406929,0.965930851333549,4,1.27844109364726,0.00341514460840334,14.092811933237,0.735738968144482,2.97002049796188,0.139449769648,0.334833052683242,0.0726527364225839,11.6143930012888,182.930773069744,0.488669400932573,2016.52543436222,105.276104537782,424.977066542151,19.9537188634401,47.910904523496,10.3958025954089,1661.891111776,45.732693267436,4.59349236876619,3.60430892422441,16.2772608800927,1.31213066628421,0.0758461199055845,9.15106860279583,0.320983186509297,50.1748568985488,0.25,1e-05,0.001,12.354212229095,8.78583770317725,3.9252439041184,9.53869054174625,1.21463007858319,48.4302527401042,10.5084917961625,131.242640914563
0.25,0.001,"LAC",0.04,0.62994669697314,0.961063828277159,4,1.27793341444022,0.00392278738953049,14.0928103008584,0.735738840383486,2.97002103403509,0.139449767048013,0.334833118526996,0.0726527681454999,11.6143907415143,181.936764943478,0.558479212725551,2006.36456182142,104.74563302758,422.835816514842,19.8531779528987,47.6695058540451,10.3434259181421,1653.51704120375,45.4841912358696,5.24970459962018,3.5861470744686,16.1952406992749,1.30551935419303,0.0754639485870359,9.10495837995945,0.319365899445236,49.9220241876938,0.25,1e-05,0.001,12.3542168889029,8.78583947173358,3.92524546063202,9.53869276255544,1.21463044239926,48.4302622637447,10.5084963845651,131.242615379112
0.25,0.001,"LAC",0.045,0.626756521024297,0.956196809011871,4,1.27742063490348,0.00443559932990289,14.0928117114992,0.735738964445122,2.97002042965251,0.139449768805522,0.334833043372371,0.072652733254437,11.6143928391858,180.942767141787,0.628289221854886,1996.20413058343,104.215197784707,420.694405840381,19.7526377416472,47.4280873056981,10.2910398002653,1645.14359763166,45.2356917854467,5.90591868543593,3.56798678433029,16.1132282004918,1.29890775882152,0.075081789808344,9.05884982092836,0.317748512430824,49.6692257451059,0.25,1e-05,0.001,12.3542143911138,8.78583906523795,3.92524398157212,9.5386906887926,1.21463005995239,48.4302513933797,10.5084913379218,131.2426390828
