"","convergence","mu","x_S","x_W","S","AA","NT","ATP","ADP","RNA","DNA","P","tau TS","tau ATPS","tau AAS","tau NTS","tau ADPS","tau RNAP","tau DNAP","tau R","v TS","v ATPS","v AAS","v NTS","v ADPS","v RNAP","v DNAP","v R","p TS","p ATPS","p AAS","p NTS","p ADPS","p RNAP","p DNAP","p R","q TS","q ATPS","q AAS","q NTS","q ADPS","q RNAP","q DNAP","q R"
"1",4,1.00545648624968,10,1e-05,28.8501944523638,4.05029650327117,5.08478797765611,10.5652337953946,1.48870707724087,56.1912592599447,14.3799075216402,84.3896131356898,0.024829422937889,0.00147254394864718,0.169660953950446,0.00234318509778294,0.00797417473713777,0.112140402661708,0.0197827171875014,0.026112846671154,253.597081959588,2373.92512783567,105.892497569705,750.668922002371,26.6454412165608,88.2779157710138,22.5912051395371,1697.00167798761,6.29666920378911,3.49570908153589,17.9658221538714,1.75895623140474,0.212475404208989,9.89952102069786,0.446915422200289,44.3135446179815,1.2303455726885,11.5172787019373,0.513745523249263,3.64192749224002,0.129272389018859,0.428287037042261,0.109602953671038,8.23313298884779
"2",4,1.00023364603436,8,1e-05,28.1291710645841,4.00740312790563,5.05298862915788,10.5559567462375,1.49611250322867,56.2727091839168,14.3183427901686,85.1673160232539,0.0264295553164475,0.00147881918457983,0.170820509347468,0.00235672214009392,0.00792098655808114,0.112423724311652,0.0198326980324146,0.0261343290350767,252.589408783383,2377.07556389354,106.232997476434,747.349986425717,26.6180386599732,87.946651686344,22.3776378346563,1703.74430057799,6.67582575178918,3.5152649470817,18.1467747384328,1.76129625940838,0.210841126428132,9.88729012331846,0.443808933853475,44.5262141429418,1.23185563929489,11.5927819480489,0.518088694418587,3.64475810660375,0.129813760553901,0.428907844389609,0.109133710290919,8.30900644129307
"3",4,0.993829152416409,6.4,1e-05,27.2699971580509,3.95497916252902,5.01453267635042,10.5443479523058,1.50512955344629,56.3668396173462,14.2437882327502,86.1003873249707,0.0283920491381031,0.00148675443690524,0.172269434306732,0.00237380448388069,0.00785712922876958,0.112770831178989,0.0198939312438832,0.0261632381342447,251.340423793208,2380.27229402243,106.613463538401,743.217665151289,26.5794857007247,87.5297006895295,22.1185812289891,1711.381499158,7.13606966272844,3.53888039418047,18.3662410532418,1.76425342603547,0.208838453984827,9.87079709960637,0.440025534181754,44.7752817010116,1.23366359780322,11.6831794809537,0.523294848548751,3.64796304909478,0.130461083268855,0.42962530196148,0.108565459091084,8.40003778780202
"4",4,0.986011194606431,5.12,1e-05,26.2583657589221,3.8913474358402,4.9683379472489,10.5297771004765,1.51602080621227,56.4731768936585,14.1540188491285,87.2089552019027,0.0307884568300795,0.00149679892925654,0.174077638496568,0.00239537563001493,0.00778134692848132,0.113194621191497,0.0199686921486539,0.0262023000444259,249.796224219383,2383.19646657915,107.02371945265,738.079942175484,26.5250933568171,87.0049759564633,21.8062828654861,1719.78012198014,7.69084026569533,3.56716591938365,18.6304363454365,1.76797870648998,0.206400953719749,9.84849529516719,0.435442949447358,45.0621947665629,1.23580561112209,11.7902805577168,0.529473627698163,3.65146966031023,0.131226399871853,0.430435799494348,0.107881241228113,8.50819075140514
"5",4,0.976519983333796,4.096,1e-05,25.0845323354283,3.81479936259805,4.9132721747978,10.511422433916,1.52903963414891,56.589694177372,14.0465964687924,88.5106451862521,0.0336999776450875,0.00150951975980691,0.176329742653628,0.00242262122059074,0.00769273569981739,0.113710178204446,0.0200596416935022,0.026255176834884,247.893359266875,2385.33804758895,107.444124324557,731.705514425953,26.4484058965683,86.3452612733623,21.4324721087526,1728.64827524285,8.35400066565933,3.60071491665477,18.9455947917935,1.77264530647158,0.203460596243792,9.81833504650345,0.429927711107557,45.3859661518182,1.23831147288407,11.9155732116903,0.53671987115171,3.65511741002607,0.132118764932126,0.431323888547042,0.107062473085308,8.63518489621972
"6",4,0.965072352858997,3.2768,1e-05,23.746233158435,3.72374898643668,4.84819303167174,10.4882087103053,1.54439722136368,56.7121449209636,13.9188825324944,90.0181934308269,0.0372176254124973,0.0015256266161086,0.179126779524968,0.00245701918831542,0.00759103128722077,0.114335140279585,0.0201698914134242,0.0263266839630895,245.558660630177,2385.94131855898,107.842570877082,723.820938462157,26.3407902369993,85.5176923977418,20.9886386168787,1737.48139468809,9.13911024812849,3.64005558006685,19.3174924169049,1.77844193470599,0.199953762819181,9.77767735668217,0.423338561818045,45.7421235697013,1.24119929607005,12.0599643175278,0.545100395626483,3.65862086474333,0.133141996361233,0.432257202141491,0.106089043692793,8.78226277373921
"7",4,0.951370168742824,2.62144,1e-05,22.2516331819469,3.61695098786643,4.77199857303644,10.4587546400436,1.56222070418992,56.8333814045207,13.7680477610354,91.7370141332025,0.04144297005316,0.00154599612284728,0.182587373792506,0.00250039105122774,0.00747694395202451,0.115090206961269,0.020303092920347,0.0264229769903848,242.710143877883,2383.96289835779,108.172089610702,714.111824214146,26.1911632962681,84.4837244641315,20.466421752618,1745.51717231735,10.0586292243293,3.68559739787289,19.7508577596657,1.78555881484097,0.195829860004518,9.72324933343573,0.415531662590413,46.121760080463,1.24447030215383,12.2235147696816,0.554640819257119,3.66153199636575,0.134292388362089,0.433181260705188,0.104939388422526,8.94995259836122
"8",4,0.935112503603171,2.097152,1e-05,20.6213354202918,3.49374993880514,4.68367993182332,10.4213355313272,1.58250641293888,56.9428653170941,13.5910841869403,93.6634432490527,0.0464904473802021,0.00157169581993751,0.186848572814125,0.00255495535590553,0.00735244699467558,0.115999835759148,0.020463560769819,0.0265516645130029,239.259305604019,2378.06211881673,108.370077547498,702.230880543506,25.9860088396784,83.1999771078219,19.8581136886426,1751.7171382543,11.1232721574073,3.73759029169599,20.248794325506,1.79416854932689,0.191060752596906,9.65118367967225,0.406367716241512,46.5110057766058,1.24810497071198,12.4052485384593,0.565316496769114,3.66321322542148,0.135556971211168,0.434015741746144,0.103590580693143,9.1378969023466
"9",4,0.91601099539485,1.6777216,1e-05,18.8884514304867,3.35430505727862,4.58237196325107,10.3738978525321,1.60508239521389,57.0265788597694,13.3848392502759,95.7844731932531,0.0524925177078025,0.00160400784098692,0.192066777157164,0.00262338632305787,0.00722092035722297,0.117093131910267,0.0206564294241703,0.0267218149398024,235.115119681477,2366.64328118227,108.360137074123,687.815369956139,25.709865328737,81.6202707270316,19.1572811325707,1754.79261266246,12.341784583252,3.79611437983538,20.8123823001354,1.80440543433192,0.185648889933738,9.55717312679206,0.395721025673935,46.8912434532987,1.25206250645724,12.6031253223598,0.57705206287406,3.66283477325405,0.136913178819749,0.434653802284828,0.102018591846615,9.3448266530003
"10",4,0.893806989949985,1.34217728,1e-05,17.0961155118736,3.19972038344397,4.46740250020811,10.3141395731779,1.62959116815032,57.0674906142655,13.146098581221,98.0794425591863,0.0596088030725127,0.00164445606476959,0.198419710725972,0.00270888667268091,0.00708704977055877,0.118404899896738,0.0208878387510142,0.0269438625157805,230.189571545238,2347.95689043196,108.056842040366,670.514568309666,25.3463398778515,79.6989406405245,18.3594918788546,1753.28182659598,13.7213248395862,3.86111194828838,21.4406073396115,1.81634797793245,0.179630772215832,9.43674508841734,0.38349010591607,47.2401844872185,1.25628460213775,12.8142298894423,0.589731958314476,3.65940612349127,0.138330404350386,0.434965629681902,0.100198922112965,9.56872610333525
