"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.58,1e-04,"LAC",0,0.730059496143866,1,4,1.27886635096141,4.90530283059343e-19,13.9433175480612,0.665332221700472,3.51774582145958,0.144315247585056,0.420983565872678,0.0851155173331289,10.8941462013093,191.397947382738,7.34138397151905e-17,2086.78753366086,99.5750818412998,526.473567105279,21.5985369722537,63.0053252471004,12.738575298141,1630.44185176232,24.695482538377,5.81122567393499e-15,4.14615924592048,24.6650069499359,1.80096959481899,0.143708927374504,8.26363714116886,0.29473972288466,47.6552944429397,0.58,1e-05,1e-04,9.52847330426632,2.39510717249263,3.68126193372361,9.61814474995311,1.71181455958202,55.2330438424954,11.1671558741065,111.66499856342
0.58,1e-04,"LAC",0.005,0.72641514877945,0.995008150179998,4,1.27881714769101,4.73643741025895e-05,13.9432256097479,0.665323284279698,3.51779694167554,0.14431524994882,0.420990047017911,0.0851183051537393,10.8939973394416,190.435190463344,0.00705327076641851,2076.35691268294,99.0766870699762,523.853102696442,21.4907206713567,62.6917772660326,12.6754013919322,1622.28076311734,24.5713274858786,0.558317362640782,4.12542345713562,24.5414813389857,1.79200555315163,0.142990502481381,8.22235336418916,0.293272342021843,47.4163013227912,0.58,1e-05,1e-04,9.52851480964478,2.39510600220693,3.68135244356605,9.61829956621464,1.71183861755483,55.2338941687499,11.1675216361706,111.663472729276
0.58,1e-04,"LAC",0.01,0.722770801208464,0.990016300077048,4,1.27876927530068,9.52062173649284e-05,13.943224078982,0.665323353347204,3.51779479000465,0.144315199925342,0.420989762673178,0.0851182301664484,10.8939979761845,189.472704202317,0.0141065161709997,2065.93982399396,98.5796400980995,521.224668566018,21.3828965987028,62.3772171539101,12.6117991400443,1614.14204735011,24.4472100270717,1.1166348129055,4.10471934209667,24.4183168479211,1.78301009801125,0.142273176048416,8.18110053162192,0.291800888840481,47.1784135313746,0.58,1e-05,1e-04,9.52855841288993,2.39511232910694,3.68135255386279,9.61829278380027,1.711835991263,55.2338568627209,11.167511797838,111.663479255892
0.58,1e-04,"LAC",0.015,0.719126453641679,0.985024449979851,4,1.27872091826572,0.000143532782642464,13.9432226774532,0.665323434416071,3.51779255880034,0.144315149936761,0.420989466713599,0.0851181526995037,10.893998830643,188.510218025721,0.0211597352974143,2055.52275665649,98.082594792848,518.596225928721,21.275072606062,62.0626557547417,12.5481966347216,1606.00336273666,24.3230915652467,1.67495226424183,4.0840153155198,24.2951526715048,1.77401468509342,0.141555856414625,8.13984768450327,0.290329435297103,46.9405285362689,0.58,1e-05,1e-04,9.52860182180552,2.39511843838611,3.6813524485511,9.61828566353372,1.71183343399166,55.2338180328242,11.1675016341749,111.66348801409
0.58,1e-04,"LAC",0.02,0.7154821061883,0.980032600037993,4,1.27867207336776,0.000192351488932729,13.9432213418555,0.665323524621072,3.51779026438052,0.144315099322618,0.420989162009977,0.0851180718056211,10.8939998190699,187.547732576351,0.0282129299281591,2045.10570140769,97.5855507219642,515.967777434973,21.1672485997146,61.7480935250559,12.4845937444854,1597.86469674943,24.1989736052073,2.23326993006396,4.06331131988375,24.1719890270491,1.76501922475621,0.140838529715609,8.09859479004311,0.288857975044474,46.7026437437029,0.58,1e-05,1e-04,9.52864593474765,2.39512477276009,3.68135250428711,9.61827841392106,1.71183074622604,55.233778055709,11.1674910208975,111.663498145466
0.58,1e-04,"LAC",0.025,0.711837756793827,0.975040747437317,4,1.27862271923104,0.000241669871847971,13.9432198566233,0.665323618149101,3.51778781124511,0.144315043122609,0.420988836111397,0.0851179848193228,10.894000816777,186.585245289824,0.0352660965894869,2034.68862077049,97.0885067364678,513.339307808844,21.0594237964405,61.43352849022,12.4209900522025,1589.72602630455,24.07485785877,2.79158774379396,4.0426071589341,24.0488248945806,1.75602355612311,0.140121176856296,8.057341568497,0.287386497690823,46.4647579167182,0.58,1e-05,1e-04,9.52869206418189,2.39513167420886,3.68135311706453,9.61827054966849,1.71182767073819,55.2337352978152,11.1674796082952,111.663508371964
0.58,1e-04,"LAC",0.03,0.708193410670067,0.970048899316706,4,1.27857287151317,0.000291495665120359,13.9432185528679,0.665323709352582,3.51778552357936,0.14431499252128,0.420988531120839,0.0851179033679716,10.8940018312669,185.622760946763,0.0423192384018109,2024.2715780481,96.5914627198433,510.710868229638,20.9515999867164,61.1189672600269,12.357387350526,1581.58736410982,23.950739062146,3.34990555933693,4.02190331874832,23.9256612697975,1.74702820096378,0.139403837683402,8.01608860502296,0.285915034663613,46.2268738821229,0.58,1e-05,1e-04,9.52873647499423,2.39513789269668,3.68135360634762,9.61826334561139,1.71182490972535,55.233695283054,11.1674689218779,111.663518770485
0.58,1e-04,"LAC",0.035,0.704549065647122,0.965057052703938,4,1.27852250575159,0.000341836708524553,13.9432172202538,0.665323800768065,3.51778321697704,0.144314942131769,0.420988226674449,0.0851178241699276,10.8940028359964,184.660276551401,0.0493723503869466,2013.85453625216,96.094418747706,508.082430127411,20.8437763157606,60.804406659144,12.2937851152119,1573.44870144797,23.8266202183822,3.90822322124477,4.00119934210402,23.8024980779076,1.73803280195177,0.13868654191067,7.97483605759714,0.284443594322197,45.9889892135431,0.58,1e-05,1e-04,9.52878132262404,2.39514427469709,3.6813527411458,9.6182559513906,1.71182237168057,55.2336553396877,11.1674585310945,111.663529068963
0.58,1e-04,"LAC",0.04,0.700904717206283,0.960065201409505,4,1.27847161518703,0.000392701097858865,13.9432158259053,0.665323891977449,3.51778086102811,0.144314889841553,0.420987913868487,0.0851177414209468,10.8940038271062,183.69779110928,0.0564254406479797,2003.43747780747,95.5973741431927,505.453985916479,20.7359523458752,60.4898450170372,12.2301824283767,1565.31002769481,23.7025019401777,4.46654149591046,3.98049536447366,23.6793342437551,1.72903737281527,0.137969216062717,7.93358317754204,0.282972136540549,45.7511042805606,0.58,1e-05,1e-04,9.52882709351604,2.39515078197137,3.68135278519255,9.61824849067981,1.71181959902029,55.2336142995455,11.1674476744282,111.663539227838
0.58,1e-04,"LAC",0.045,0.69726036957738,0.955073351227222,4,1.27842018869023,0.000444096967417665,13.9432143253519,0.665323978777373,3.51777848170732,0.144314836521154,0.420987597911082,0.0851176581259854,10.8940047314809,182.735305314473,0.0634784992041161,1993.02040858625,95.1003288828557,502.825542470552,20.628128330889,60.1752834619298,12.1665798013096,1557.17134187627,23.5783840113529,5.0248596199469,3.95979132937026,23.55617020797,1.72004192340259,0.137251889231628,7.89233027493336,0.281500678930292,45.5132185625411,0.58,1e-05,1e-04,9.52887360334107,2.39515745214661,3.68135288806448,9.61824100682454,1.71181678575693,55.233572845934,11.1674367461293,111.663548497679
