"","x_C","x_C2","protein","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.TC","f.LAC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.TC","v.LAC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.TC","p.LAC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_GLY","c.x_LAC","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.p"
"1",0.5,0.001,"LAC",0,0,0.62930030692042,1,FALSE,4,1.1937622892155,1.18478108963817e-17,0.387524579921384,0.657212514902664,0.281840003487731,0.21765322573705,0.0415030663490593,0.623219147192399,169.779104348494,1.68501781355476e-15,55.1144701809238,93.4699924388824,40.0838121575855,30.9550486374311,5.90264368050195,88.6353921371502,42.5010258662468,3.16181051886978e-14,7.46591957500897,21.6560638773992,1.15334058871686,9.25707989256453,0.284797471423004,58.5292999941228,0.5,0.001,5.01656557776621,7.18887820091414,5.12651877676647,9.25118799919719,49.1896290165732,9.3796929948874,140.847527265482
"11",0.5,0.001,"LAC",0.01,1,0.623091258329209,0.990133409243679,FALSE,4,1.19322912922146,0.000533051152673119,0.387524360677485,0.65721305274177,0.28184147420326,0.217654441728514,0.0415032455910447,0.623219815940479,168.028884549977,0.075063530044882,54.5706473852729,92.5478380132546,39.6885286912111,30.6497990749288,5.84442995153587,87.7609571685915,42.0620637669828,1.40847678156268,7.39247141260428,21.4428772140869,1.14199133307937,9.1657653556004,0.28198778849339,57.9520447501384,0.5,0.001,5.01631940533184,7.18872927112998,5.12653583571658,9.25109975905242,49.1899038306441,9.37973350357609,140.847678402548
"12",0.5,0.001,"LAC",0.02,2,0.616882209813093,0.98026681860669,FALSE,4,1.19268520658324,0.0010768609521876,0.3875241356762,0.657213601091174,0.281842975850584,0.217655680513606,0.0415034316798472,0.623220497479472,166.278660601751,0.150130978229404,54.0268244088366,91.6256835546378,39.2932454144395,30.344549281235,5.78621667478495,86.8865221170251,41.6231008252136,2.81695665804767,7.31902336091753,21.2296909298897,1.13064210314435,9.07445039286066,0.279178116412919,57.3747900438742,0.5,0.001,5.01606810957655,7.18857725831239,5.12655318651148,9.25100959111526,49.1901837960751,9.37977555964548,140.847832430361
"13",0.5,0.001,"LAC",0.03,3,0.610673161840965,0.970400228834131,FALSE,4,1.19213019605518,0.001631758409792,0.387523910695567,0.657214161663493,0.281844498762899,0.217656941368981,0.0415036148414856,0.623221200202679,164.52843305015,0.225202461247828,53.4830021143569,90.7035293247931,38.8979608927868,30.039299083629,5.72800247689599,86.0120881530245,41.1841381805671,4.22543971910626,7.24557545825823,21.0165042478721,1.11929282769054,8.98313603101319,0.276368422093784,56.7975363592042,0.5,0.001,5.01581183174998,7.18842201511825,5.12657101684957,9.25091798739651,49.1904687493897,9.37981695417576,140.847991245805
"14",0.5,0.001,"LAC",0.04,4,0.604464114678043,0.960533640347458,FALSE,4,1.19156375365917,0.00219808613610112,0.38752367965896,0.657214733558804,0.281846059432405,0.217658231667677,0.0415038058402684,0.623221912271676,162.778201652996,0.300278106995245,52.9391796948538,89.7813751887214,38.5026773066087,29.7340494094703,5.66978884317964,85.1376536075318,40.7451749621505,5.63392603450272,7.17212766133425,20.8033182331124,1.10794358326563,8.89182148036483,0.273558744373427,56.220281474295,0.5,0.001,5.01555016224141,7.18826380129504,5.12658895492796,9.25082442361041,49.190760356895,9.37986011990067,140.848152173399
"15",0.5,0.001,"LAC",0.05,5,0.598255067363507,0.950667051619857,FALSE,4,1.19098552064193,0.00277620096656517,0.38752344317337,0.65721531480506,0.28184765578519,0.217659552021223,0.0415040001413751,0.623222635058638,161.027965771015,0.37535804295636,52.3953571737407,88.8592206894127,38.1073941553515,29.4288001702295,5.61157511849795,84.2632184913997,40.3062118531473,7.04241578344764,7.09867976636853,20.5901316662581,1.0965943516151,8.80050706163375,0.270749062323865,55.6430259784579,0.5,0.001,5.01528318704077,7.18810213398807,5.12660741870579,9.25072895319505,49.1910587567964,9.37990403195078,140.848315523252
"16",0.5,0.001,"LAC",0.06,6,0.592046020721503,0.940800463960956,FALSE,4,1.19039512605338,0.00336647477297004,0.387523201000073,0.657215911104294,0.281849280739192,0.217660893267844,0.0415042006843033,0.623223378649448,159.277725627355,0.45044240646235,51.8515346141937,87.9370666728589,37.7121103936975,29.1235500540568,5.55336168999127,83.3887842251037,39.8672484913781,8.45090904785566,7.02523181678014,20.376945445236,1.08524510664914,8.70919216188145,0.267939387836083,55.0657721171587,0.5,0.001,5.01501059999159,7.18793719857453,5.12662621387209,9.25063125334751,49.1913618785327,9.37994935465254,140.848483574775
"17",0.5,0.001,"LAC",0.07,7,0.585836974587028,0.930933877108552,FALSE,4,1.18979218159964,0.00396929525270422,0.387522953690608,0.657216518932363,0.2818509428606,0.217662269872327,0.0415044010236116,0.62322413595803,157.527480964573,0.525531342391638,51.3077120987285,87.0149125845896,37.3168270248899,28.8183008800073,5.49514767646458,82.5143497596344,39.4282843489552,9.85940585155429,6.95178407812994,20.1637595004073,1.0738958916299,8.61787801634595,0.265129699660887,54.4885173398313,0.5,0.001,5.01473206691546,7.18776860857922,5.12664546401342,9.25053151308624,49.1916729911459,9.37999463133622,140.848654726515
"18",0.5,0.001,"LAC",0.08,8,0.579627929156479,0.921067291374733,FALSE,4,1.18917628538916,0.00458506658610814,0.387522703854847,0.657217141092811,0.281852632140688,0.217663664604379,0.0415046094941023,0.623224914949354,155.777232020678,0.600624978979197,50.76389000805,86.0927587724955,36.9215425938722,28.5130502517978,5.43693417244236,81.6399161082846,38.9893210811222,11.2679064423356,6.878336204057,19.9505730544376,1.0625466158883,8.52656310776922,0.262320025974402,53.9112642469696,0.5,0.001,5.01444789953222,7.18759657542412,5.12666491753865,9.25042989350731,49.1919882005897,9.38004174566713,140.848830778554
"19",0.5,0.001,"LAC",0.09,9,0.57341888378748,0.91120070573872,FALSE,4,1.1885470119117,0.00521421086057936,0.387522446436302,0.657217775243087,0.281854364697328,0.21766509653945,0.0415048212920537,0.623225705948719,154.026978003253,0.67572349556035,50.2200676412502,85.170604777251,36.5262590341539,28.2078005335549,5.37872051514195,80.765481835528,38.5503567999643,12.676410873529,6.80488846723755,19.7373870118224,1.05119739130452,8.43524850944069,0.259510346068551,53.3340101450436,0.5,0.001,5.01415735727478,7.18742067969082,5.12668499167642,9.25032589626044,49.1923118179157,9.38008961200414,140.849009544411
