"reaction","phi","rel_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"TS",0.0635,1.00043028856581,1.07236258959389,4,1.23460072434774,11.7300362093152,0.544537162359493,3.76521996653634,0.135298452439878,0.436118048762327,0.117403178788499,8.3246427479522,246.252771156942,2339.66647301395,108.613078369776,751.008672269229,26.9865537817241,86.987862505929,23.4171724907872,1660.42859456267,4.91611702854149,3.45115864196807,14.9069609974429,1.7329767907582,0.08452316132516,9.90499149709435,0.470385292122274,41.952064146703,10,1e-05,17.5115071960929,8.38089913171919,4.94241313912344,10.3527849572849,1.5020511222008,51.9154925246674,13.9756744029829,77.4191775559555
"TS",0.063372745490982,0.998425418248047,1.07236120890278,4,1.2348652958912,11.7432647955244,0.545611355320619,3.76084378431303,0.135301418939152,0.43571944110432,0.117043997165991,8.34300276301323,246.30522532532,2342.30202366249,108.827196180383,750.134835589521,26.9871107314523,86.9082445485436,23.3455002670069,1664.08853036129,4.91716420794649,3.45759552106376,14.9435682720288,1.73198118789,0.0845552424608812,9.91214829490386,0.46971435090415,42.0731986188251,10,1e-05,17.4709127201594,8.37580125440741,4.92815589666231,10.335437716022,1.49880702144069,51.8680422690583,13.9329174226396,77.5899256960231
"TS",0.0632454909819639,0.99642054793028,1.07235487968918,4,1.23513246639469,11.7566233197961,0.54669625560782,3.75641915178962,0.135304591746636,0.435314851319603,0.116681941017298,8.3615485698192,246.357060896563,2344.95266373108,109.042945918046,749.247879809789,26.9875842919176,86.827032932557,23.2731474808,1667.7778183723,4.91819903786243,3.46409300301335,14.9805184183096,1.73096569585122,0.0845874611870616,9.91932928070446,0.469036131918114,42.1956726704723,10,1e-05,17.4300030262227,8.37062150387223,4.91379538470742,10.317943041683,1.49553718418242,51.8198799010855,13.8898182586992,77.7624016993186
"TS",0.0631182364729459,0.994415677612513,1.07234356573519,4,1.23540011628446,11.7700058151112,0.547783288901098,3.75198071447322,0.135307952815979,0.434907415666785,0.116319861824031,8.38013350425418,246.407846039944,2347.59714083705,109.258610660286,748.354702294588,26.9879699426731,86.7448514118284,23.2006831033224,1671.46709725173,4.91921289734914,3.47059956167296,15.0175178583379,1.72993794711631,0.0846195623415686,9.92647699257903,0.468355943876241,42.3185208262908,10,1e-05,17.3891073902883,8.36540182812751,4.89944561241975,10.3004417183279,1.49226674546198,51.7713787609741,13.8467163515326,77.9352415895639
"TS",0.0629909819639279,0.992410807294746,1.07232723970884,4,1.23566824954707,11.783412477379,0.548872432881549,3.74752888596587,0.135311494359073,0.43449718427197,0.115957795041801,8.39875736199018,246.457574521275,2350.23539677664,109.474180128171,747.455378919147,26.9882654319313,86.661708926522,23.1281146240609,1675.1562316079,4.92020566194923,3.47711520975634,15.0545664539538,1.72889823375986,0.0846515394265182,9.93359134094203,0.467673867174115,42.4417411595469,10,1e-05,17.3482208947579,8.36014035615762,4.88510672688505,10.2829313282094,1.48899648987548,51.7225448157353,13.803615921776,78.1084434665087
"TS",0.0628637274549098,0.990405936976979,1.07230587355098,4,1.2359368689536,11.7968434463661,0.549963715264533,3.74306341382264,0.13531522702111,0.434084116295035,0.115595721062762,8.4174205364207,246.50623968859,2352.86736014335,109.689653913962,746.549852371137,26.9884721651054,86.5775962384135,23.0554385414505,1678.84520353157,4.92117719886477,3.48363994333405,15.0916644144326,1.72784637814139,0.0846833969846411,9.94067207135284,0.466989850883617,42.5653377347186,10,1e-05,17.3073442759584,8.35483785274813,4.87077907001544,10.265413643646,1.48572633473559,51.673373203761,13.7605146353111,78.2820109887125
"TS",0.0627364729458918,0.988401066659211,1.07227944006586,4,1.23620596777277,11.8102983881435,0.551057104856365,3.73858445013094,0.135319142543339,0.433668229010053,0.115233660667057,8.43612252988015,246.553833184878,2355.49286653275,109.905019914183,745.638146793511,26.9885877977608,86.4925157945688,22.9826594354468,1682.53381813604,4.92212734125892,3.49017356436024,15.128810195395,1.72678240403712,0.0847151289045524,9.94771894356839,0.466303945085665,42.6893080052755,10,1e-05,17.2664790490899,8.34949406982144,4.85646247462413,10.247887651168,1.4824562820895,51.6238659813567,13.7174149658064,78.4559395278854
"TS",0.0626092184368738,0.986396196341444,1.072247911192,4,1.23647555186917,11.823777590379,0.552152616334137,3.73409200509705,0.135323244801508,0.433249522282482,0.114871611699704,8.45486362727803,246.600348958096,2358.11187320498,110.120275051367,744.720257595517,26.9886123827902,86.4064665243725,22.9097773002496,1686.22203465975,4.92305596831045,3.49671632883723,15.1660042133008,1.72570633123173,0.0847467360944109,9.95473207923176,0.465616143139338,42.81365393354,10,1e-05,17.2256228223521,8.34410855772662,4.84215700636251,10.2303541508659,1.47918595122429,51.5740231325067,13.6743166567328,78.6302317336857
"TS",0.0624819639278557,0.984391326023677,1.0722112587966,4,1.23674561726417,11.8372808626414,0.553250254972462,3.72958587719027,0.13532753013298,0.432827965439468,0.114509569947321,8.47364384143884,246.645778968228,2360.72424148987,110.335414330323,743.796138080032,26.9885444666715,86.3194412859178,22.8367917255703,1689.90975734712,4.9239629195109,3.50326789096098,15.2032454863639,1.72461797124954,0.0847782147751887,9.96171098240316,0.464926433827885,42.9383778262897,10,1e-05,17.1847793525758,8.33868215442036,4.82786271322712,10.2128121740139,1.47591567004845,51.5238410059143,13.6312192065291,78.8048877253813
"TS",0.0623547094188377,0.98238645570591,1.07216945469367,4,1.23701617043037,11.8508085113106,0.554350025188407,3.72506621824738,0.135332002957568,0.432403574223688,0.114147544371554,8.49246333350856,246.69011723895,2363.32993126069,110.550432544116,742.865812160395,26.9883842053329,86.2314422152389,22.7637049350455,1693.59691932066,4.92484807555072,3.50982847797632,15.2405344229401,1.72351744380496,0.0848095664467859,9.9686557677542,0.464234838050316,43.0634804091062,10,1e-05,17.143944761468,8.33321388308826,4.81357954403983,10.1952622808139,1.47264540935641,51.4733214755878,13.5881236819898,78.9799090016296
"TS",0.0622274549098196,0.980381585388143,1.0721224724628,4,1.23728719834854,11.864359917604,0.555451877297008,3.72053322664035,0.135336660502082,0.431976360956491,0.113785558450477,8.51132125195604,246.733354304641,2365.92872136332,110.765313844049,741.929314419569,26.9881303634571,86.1424709326729,22.6905220917063,1697.28325393044,4.92571124746106,3.51639783856929,15.2778688915763,1.72240477005252,0.0848407861805231,9.97556570330593,0.463541400313347,43.1889570057321,10,1e-05,17.1031209473846,8.32770400541419,4.79930836638665,10.1777051399621,1.4693750107977,51.4224660082607,13.5450328779448,79.1552876431911
"TS",0.0621002004008016,0.978376715070375,1.07207028202104,4,1.2375587122145,11.8779356122397,0.556555867304446,3.71598654529751,0.135341506425365,0.431546292862198,0.113423579414476,8.5302185208452,246.775484677579,2368.52061138532,110.980063045607,740.986566310249,26.9877828950424,86.0525197962672,22.6172370713525,1700.96884221391,4.9265523256867,3.52297586786436,15.3152498228662,1.72127975152014,0.0848718772165177,9.9824415926696,0.462846056039953,43.314814949997,10,1e-05,17.0623086506037,8.32215262599451,4.78504807223493,10.1601396861447,1.46610511971291,51.371270702316,13.5019428934992,79.3310322438604
"TS",0.0619729458917836,0.976371844752608,1.072012854576,4,1.23783071726706,11.8915358427578,0.557662001524733,3.71142627714684,0.135346538405757,0.431113370284518,0.113061626426555,8.54915529183325,246.816501970073,2371.1055468403,111.194675150616,740.037582091735,26.9873405927604,85.9615878987729,22.5438541412677,1704.65361256177,4.92737118270564,3.52956296182323,15.352677517071,1.72014247169059,0.0849028356821514,9.98928268244537,0.462148844003949,43.4410557186273,10,1e-05,17.0215048414797,8.31655922674136,4.77079910263899,10.142566146434,1.46283493678553,51.319735598669,13.4588560098171,79.5071442140492
"TS",0.0618456913827655,0.974366974434841,1.07195016585615,4,1.23810319167803,11.9051595838038,0.558770187108677,3.7068528579219,0.135351757567618,0.430677636658542,0.112699732198359,8.56813004361316,246.856395429932,2373.68322901486,111.409125822871,739.082445668795,26.9868030490766,85.8696833126788,22.4703803716873,1708.33716636705,4.92816760386435,3.5361585247532,15.3901486026978,1.71899305162377,0.0849336588606467,9.99608857555847,0.461449829476167,43.567669558768,10,1e-05,16.9807117616554,8.31092351549104,4.75656248399939,10.1249857999011,1.45956504498988,51.2678658678328,13.4157761208926,79.6836094056024
