"","gfp_phi","rfp_phi","mu","convergence","f.TS","f.ATPS","f.EAA","f.ENT","f.ADPS","f.RNAP","f.DNAP","f.GFP","f.RFP","f.R","v.TS","v.ATPS","v.EAA","v.ENT","v.ADPS","v.RNAP","v.DNAP","v.GFP","v.RFP","v.R","p.TS","p.ATPS","p.EAA","p.ENT","p.ADPS","p.RNAP","p.DNAP","p.GFP","p.RFP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,0.1,1.01748493234238,4,1.24540731358902,12.2703656769203,0.58690313851436,3.62396859639488,0.138698277286962,0.404962119251299,0.117975950757847,1.45422899687161e-23,0.443875234574693,9.03272715034183,286.383397822517,2821.59015507504,134.959312641316,833.337357917707,31.8938900455803,93.1216851187253,27.128758014122,3.34402276903246e-21,102.06981804245,2077.0900127958,6.22572603961993,4.04932563904215,17.7340488465235,2.1136051571302,0.102319566527995,12.0340914619728,0.568514989257001,3.34402276903246e-22,10.206981804245,49.0352032945441,10,1e-05,17.8784286671806,10.1563291456101,6.08339704027569,12.4718076318602,1.7024582815272,58.5737209285078,17.0640415176151,102.069816798863
"2",0.02,0.08,1.01748493436901,4,1.24540731462094,12.2703658546913,0.586903151344909,3.62396855330439,0.138698276731508,0.404962116276567,0.117975948241886,0.0887750439288447,0.355100188271834,9.0327273812255,286.38339863023,2821.59020157384,134.959315860534,833.337349668828,31.8938899813793,93.1216846201616,27.128757489608,20.4139629624936,81.6558547373514,2077.09007002503,6.22572605717892,4.04932578148131,17.7340494678546,2.11360516318785,0.102319567267906,12.0340916093834,0.568514988272937,2.04139629624936,8.16558547373514,49.0352050032367,10,1e-05,17.878427445978,10.1563289145318,6.08339655639913,12.4718073045727,1.7024581598503,58.5737204982427,17.0640411537064,102.069819407848
"3",0.04,0.06,1.01748493559749,4,1.24540731864149,12.2703659223085,0.586903153347679,3.6239685705865,0.138698277509276,0.404962118865374,0.117975948564913,0.177550093089212,0.266325141573879,9.03272743541984,286.383399900531,2821.5902205292,134.959316484019,833.337354649017,31.8938901987359,93.1216853278934,27.1287575966428,40.8279271772782,61.2418912120376,2077.0900849949,6.22572608479415,4.04932573438353,17.7340495625531,2.11360518027012,0.102319568144578,12.0340917090237,0.568514990902433,4.08279271772782,6.12418912120376,49.035205351241,10,1e-05,17.8784273673382,10.1563286322825,6.08339646464279,12.4718070178588,1.70245846866079,58.5737208726877,17.064041200429,102.069820020244
"4",0.06,0.04,1.01748493183015,4,1.24540729321534,12.2703648241485,0.586903077291577,3.62396880789293,0.138698275736755,0.404962136320931,0.117975971309551,0.266325106041777,0.177550069811512,9.03272604045359,286.383392993383,2821.58995755834,134.959298495097,833.337406132499,31.8938896730517,93.1216889970345,27.1287627263617,61.2418828146199,40.8279216733647,2077.08975652956,6.22572593463876,4.04932519173986,17.7340465061352,2.11360521154476,0.102319563515606,12.0340909277375,0.568515039091774,6.12418828146199,4.08279216733647,49.0351954339237,10,1e-05,17.8784316323951,10.1563303593458,6.08339796992697,12.4718086580019,1.70245849704759,58.5737233974594,17.0640444902135,102.069804257126
"5",0.08,0.02,1.01748493398332,4,1.24540728738336,12.2703645028674,0.58690304770495,3.62396893961387,0.138698276198193,0.404962148584781,0.117975981303337,0.355100117452452,0.0887750268779047,9.03272556676474,286.383392258346,2821.58988965019,134.959291977202,833.337438185421,31.8938898466527,93.1216920141875,27.1287650818577,81.6558384213684,20.4139590338645,2077.08965199953,6.2257259186597,4.0493250748836,17.7340454519879,2.1136052601391,0.102319563052948,12.0340907981571,0.568515063912358,8.16558384213684,2.04139590338645,49.0351920281256,10,1e-05,17.8784328496596,10.1563300959889,6.08339849151368,12.4718095529394,1.70245839411892,58.5737251713027,17.0640459357146,102.069798904442
"6",0.1,0,1.01748493387045,4,1.24540731150207,12.2703655704309,0.586903141897361,3.62396848823456,0.138698280412038,0.404962104123594,0.117975943015473,0.443875227791406,6.90454256486838e-19,9.03272714627347,286.383397772714,2821.59013482513,134.959313621926,833.337334297587,31.8938908120952,93.1216817799368,27.1287562744931,102.069816635912,1.5877105759147e-16,2077.09001497967,6.22572603853726,4.04932552301413,17.7340486640888,2.11360505250628,0.102319569342907,12.034091381907,0.56851496940212,10.2069816635912,1.5877105759147e-17,49.0352038905005,10,1e-05,17.878430584057,10.1563299653353,6.08339685824229,12.4718083773335,1.70245834506815,58.5737187404366,17.0640403977581,102.06981675289
"7",0,0.2,0.570728800027429,-1,1.31178695517644,15.7358419110737,0.877155759111593,1.89908291963743,0.119674742082712,0.188992388005897,0.0496476993869282,0.0796913560439445,2.36271792715139,14.4533679821287,169.200458429204,2029.68298672022,113.139680166689,244.95265738826,15.4362117589956,24.3771281335288,6.40379404832063,10.2789663536993,304.754483824808,1864.26346044371,3.67827083541748,-7.92464753817809,14.4061015331573,0.734876337790747,0.105465536928524,10.3282467704739,0.439977986871318,1.02789663536993,30.4754483824808,110.051421717742,10,1e-05,22.053482160125,2.2495317215551,0.567469107759946,2.67574209665326,-0.0483390928223066,27.335859001173,7.18104323932529,163.323058198054
"8",0.04,0.16,0.904431052195695,4,1.24540731911716,12.270365954148,0.586903160043263,3.62396851958156,0.138698277317309,0.404962113037638,0.117975944878831,0.199743860981506,0.798975444100984,9.032727519739,254.563021761346,2508.08019790641,119.963838021929,740.744303451366,28.3501245295523,82.7748300586491,24.1144503990826,40.8279283807122,163.311713558611,1846.30231160165,5.5339787339423,3.59940071722273,15.7635997472714,1.87876012672462,0.0909507269401017,10.6969703646616,0.50534664801467,4.08279283807122,16.3311713558611,43.5868497143409,10,1e-05,17.8784274687459,10.1563290021167,6.08339646799856,12.47180722293,1.70245817585036,58.5737200297639,17.0640406672741,102.069820973051
"9",0.08,0.12,0.904425399923384,4,1.24540731467508,12.2703657705156,0.586903145994543,3.62396856970781,0.138698277188855,0.404962117169646,0.117975949393723,0.399490205535432,0.599260278932672,9.0327272758082,254.561429953208,2508.06448604028,119.963085432324,740.739684390713,28.3499473282384,82.7743135991449,24.1143006178576,81.6558540929499,122.488885139605,1846.2907232137,5.53394412941756,3.59937813723029,15.7635007606311,1.87874839762275,0.0909501580613701,10.6969034158333,0.505343499398836,8.16558540929499,12.2488885139605,43.5865757951819,10,1e-05,17.8784281210613,10.1563291348075,6.08339669525061,12.4718074972947,1.70245822106461,58.5737206274177,17.0640413203082,102.069818216633
"10",0.12,0.08,0.904425398948704,4,1.24540730344631,12.2703651769163,0.586903094136297,3.62396881329324,0.138698276813191,0.404962143159527,0.11797596564908,0.599260222813077,0.399490171888267,9.0327264040381,254.561427383711,2508.06436200561,119.963074703209,740.73973338133,28.3499472209005,82.7743188222762,24.1143039144672,122.488873536748,81.6558471274658,1846.29054303406,5.53394407355894,3.5993778550051,15.7634991069638,1.87874848482563,0.0909501559845907,10.6969033093602,0.505343531565539,12.2488873536748,8.16558471274658,43.5865697819454,10,1e-05,17.8784298102264,10.1563292360464,6.08339769228537,12.4718083774619,1.7024584394779,58.5737243865941,17.0640436714829,102.069808365631
"11",0.16,0.04,0.904431052189754,4,1.24540731863162,12.2703659297197,0.586903159632458,3.62396850945512,0.138698277309952,0.404962111564703,0.11797594434483,0.798975442745197,0.199743860686901,9.03272750446278,254.563021660428,2508.08019289675,119.963837937172,740.74430137664,28.3501245278623,82.7748297570353,24.1144502897736,163.311713280414,40.8279283202265,1846.30230846704,5.53397873174844,3.59940070031246,15.7635996932188,1.87876011605768,0.0909507268992318,10.696970340493,0.505346646423576,16.3311713280414,4.08279283202265,43.5868496852122,10,1e-05,17.8784277660447,10.1563291164203,6.08339648839926,12.4718072548671,1.70245817549808,58.5737198167186,17.0640405900362,102.069820800429
"12",0.2,0,0.904425399487459,4,1.24540731751786,12.2703658770463,0.586903151704138,3.62396858160925,0.13869827819551,0.404962119161714,0.117975948809378,0.998750499098639,4.76583688032127e-24,9.03272737390715,254.561430411576,2508.0645066063,119.963086541545,740.73968646634,28.3499475203346,82.7743139664274,24.1143004867945,204.144742124642,9.74137726909118e-22,1846.29074237525,5.5339441393821,3.59937822529092,15.763501073403,1.87874842122984,0.0909501587377613,10.6969034911355,0.505343497967395,20.4144742124642,9.74137726909118e-23,43.58657610554,10,1e-05,17.8784269640302,10.1563290949543,6.0833966606491,12.4718076694269,1.70245812923683,58.5737209155503,17.0640412357885,102.069819325151
"13",0,0.3,0.791371518197753,4,1.24540731291044,12.2703656391028,0.586903138422207,3.62396858225147,0.13869827696119,0.404962117141032,0.117975950522859,0,1.71213092515525,9.03272712359352,222.741051974309,2194.55444193279,104.967604657535,648.14664725723,24.8061817183028,72.4274597127112,21.0999943991981,0,306.214552808116,1615.50291286171,4.84219678205019,3.14945305326916,13.793050565264,1.64390336902425,0.0795813165838925,9.35978203327612,0.442175166778512,0,30.6214552808116,38.138218929549,10,1e-05,17.8784289478511,10.1563294874906,6.08339703660968,12.4718080070142,1.70245794653752,58.5737206232789,17.0640414836263,102.069816496607
"14",0.06,0.24,0.791371519108874,4,1.24540729962164,12.2703649605827,0.586903080601096,3.62396884543291,0.138698276543967,0.404962146000323,0.11797596750124,0.342420436529247,1.36971029721269,9.03272614554268,222.741049854054,2194.55432310613,104.967594437083,648.146695073446,24.8061816722423,72.4274649575815,21.0999974600738,61.2418825127967,244.972636413606,1615.50273979732,4.8421967359577,3.14945267587539,13.7930489564358,1.64390345545126,0.0795813148610264,9.35978199784554,0.44217519722861,6.12418825127967,24.4972636413606,38.1382132183366,10,1e-05,17.8784310525129,10.156329682289,6.08339807259965,12.4718084056534,1.70245869810431,58.5737247974867,17.0640439393794,102.069805444632
"15",0.12,0.18,0.791365865391934,4,1.24540728629378,12.2703643115163,0.586903034355447,3.62396898755983,0.138698277157437,0.404962151171717,0.117975985337901,0.684874246702132,1.0272971013879,9.03272531580273,222.739456163625,2194.53852868498,104.96683625655,648.142090002602,24.8060045616208,72.4269484461345,21.099849907521,122.488858809294,183.730736281909,1615.49104992365,4.84216209051359,3.14942997197961,13.7929489531241,1.64389171737376,0.0795807455058645,9.35971455785357,0.442172072430746,12.2488858809294,18.3730736281909,38.1379364506693,10,1e-05,17.8784340307994,10.156330482046,6.0833988370648,12.4718100845267,1.70245844658228,58.5737255454771,17.0640465192739,102.069796068571
"16",0.18,0.12,0.7913658669181,4,1.24540731495384,12.2703657318337,0.586903137098512,3.6239686435261,0.138698276951704,0.404962129495734,0.117975951010717,1.02729730621598,0.684874380900061,9.03272715984288,222.739461718997,2194.53878693909,104.966854834443,648.142029722578,24.8060045726646,72.4269447090904,21.0998438088408,183.730773269469,122.48888304664,1615.49138284332,4.84216221128254,3.1494305583946,13.7929521626585,1.64389167619531,0.0795807486878447,9.35971551244622,0.442172012537592,18.3730773269469,12.248888304664,38.137946392411,10,1e-05,17.8784279475413,10.1563286967942,6.08339676746798,12.4718075500847,1.70245823911451,58.5737224102629,17.06404155419,102.069816906225
"17",0.24,0.06,0.79137151864468,4,1.24540731315138,12.2703656838446,0.586903139560455,3.62396859415098,0.138698277813536,0.404962118189885,0.11797595176579,1.36971044954179,0.34242047794186,9.03272715955074,222.741052143194,2194.55445117423,104.967604920391,648.146649751498,24.8061818847541,72.427459941202,21.0999946334126,244.972663513965,61.2418898835185,1615.50292020502,4.84219678572162,3.14945300890995,13.7930506651835,1.64390338561407,0.0795813174213697,9.35978205984602,0.442175171547015,24.4972663513965,6.12418898835185,38.1382191689314,10,1e-05,17.8784284302231,10.1563292571548,6.08339683700122,12.4718076959572,1.70245831958629,58.5737207749849,17.0640416634039,102.069816902923
"18",0.3,0,0.79137151803904,4,1.24540731286562,12.2703656392279,0.586903138413055,3.62396858326005,0.138698277530114,0.404962117115475,0.117975950634006,1.71213092626092,4.8894001013827e-17,9.03272712387101,222.741051921621,2194.55444151502,104.967604634846,648.146647307626,24.8061818150798,72.4274596936147,21.099994414845,306.214552944452,8.74469027600111e-15,1615.50291258735,4.84219678090479,3.14945298959504,13.7930505608011,1.64390337096247,0.0795813170534141,9.35978204605819,0.442175167826849,30.6214552944452,8.74469027600111e-16,38.1382189720954,10,1e-05,17.8784289595816,10.1563294816595,6.08339693199817,12.47180775693,1.70245826912319,58.5737206195823,17.0640414997026,102.069816499742
"19",0,0.4,0.678317636525146,4,1.24540731090178,12.2703655449294,0.586903133165413,3.62396860403822,0.13869827836254,0.40496211802533,0.117975952024602,9.42812768889404e-20,2.66330681222533,9.03272700372544,190.9206740631,1881.04441039636,89.9721246317003,555.553610943153,21.2624163713906,62.0806059725419,18.0856881813738,1.44532995571806e-17,408.284363979461,1384.71511535492,4.15044943615435,2.69952786424392,11.8226005815807,1.40905836144674,0.0682124764396671,8.02266072728567,0.379006836899906,1.44532995571806e-18,40.8284363979461,32.6898624601003,10,1e-05,17.8784290039906,10.1563299248664,6.08339711618237,12.4718078874114,1.70245847415232,58.5737207511837,17.0640417008384,102.069815142097
