"kcat","km","phi","mu","convergence","f.TS","f.TS2","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.TS2","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.TS2","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
602,0.1,1e-04,1.06323895091019,4,0.00143759803777822,1.20717065455912,10.4304126301668,0.433926844686616,3.82312702893139,0.121860990621868,0.458434520185864,0.120665778420475,6.91454132170977,0.284302902690324,238.733020020079,2062.74390273738,85.8144336996445,756.07094828736,24.099527439575,90.6611315244392,23.8631593524899,1367.4365969311,0.00643052501748912,0.410381825217584,2.8980008517111,14.5149911322257,1.50439759972253,0.171717729628323,8.33088471824127,0.419210711143571,36.0492191989933,10,1e-05,33.3369338921869,3.54411196142955,4.73050940598885,9.65964725308486,1.48746364811252,54.5720452829253,14.3640542631734,64.3052342919009
602,0.1,0.0051,1.05832634150779,4,0.0736691086505229,1.13495590317567,10.4312505938494,0.433962291313754,3.82335954385985,0.121869972266222,0.458464328199976,0.120671044841071,6.91517463714574,14.5016682326861,223.414593553187,2053.37811377116,85.4249126860268,752.62335400791,23.9899455511991,90.2481067826815,23.7539382467387,1361.24313427893,0.327986709600212,0.384046608625276,2.88497294873267,14.4502792364517,1.49764404386547,0.170919548460086,8.2927787046921,0.417284294094279,35.8852120309335,10,1e-05,33.3266449411617,3.54363723381193,4.73053205285513,9.66014453668791,1.4876422937742,54.5755936289251,14.3646811778811,64.3111241254553
602,0.1,0.0101,1.05341375543369,4,0.146596694668257,1.06204517547751,10.4320935135886,0.433997882640009,3.823594408517,0.121879020516849,0.458494416104991,0.120676400492135,6.91581068830622,28.7234172876256,208.091777393639,2044.01180976436,85.0353571287868,749.175811794391,23.8803608282894,89.8350843969032,23.644725523643,1355.0490802809,0.649601971429756,0.357704218629595,2.87194410631742,14.3855598841765,1.49089048630127,0.170121350952514,8.25467142460249,0.415357950009449,35.7211880088289,10,1e-05,33.3162810564692,3.54315888954417,4.73055669379125,9.66064732866695,1.48782259912315,54.5791752931381,14.3653187145838,64.3170394012479
602,0.1,0.0151,1.04850118714625,4,0.220230521510346,0.988428359614805,10.4329441652934,0.43403380094697,3.82383140570325,0.121888153532691,0.458524777629489,0.120681802867676,6.91645259463274,42.9496251643949,192.764505374516,2034.64550774975,84.6458017331361,745.728268908815,23.7707765041248,89.4220619045707,23.5355125247095,1348.85502867425,0.971277439947022,0.331354541128252,2.85891536662249,14.3208411313816,1.48413698157923,0.169323161414493,8.21656426713577,0.413431608076688,35.5571646327989,10,1e-05,33.3058221469138,3.54267602003504,4.73058134799988,9.66115500171625,1.48800460525548,54.5827895290144,14.3659618133681,64.3230091300844
602,0.1,0.0201,1.04358864558551,4,0.294580767509513,0.914095276147263,10.4338022490404,0.434070033804922,3.82407045348484,0.1218973672301,0.458555401766949,0.120687250522487,6.91710012911374,57.1803328176275,177.432737917739,2025.27914567326,84.256243912199,742.280709962702,23.6611917564665,89.0090371819958,23.4262990420695,1342.66093085254,1.29301350766349,0.304997514685551,2.84588656166154,14.256121911119,1.47738344960704,0.168524979803997,8.17845706060794,0.411505265828857,35.3931409497804,10,1e-05,33.2952727232101,3.5421888468062,4.73060619552048,9.66166720658233,1.4881882523193,54.5864350263376,14.3666103021969,64.3290312007578
602,0.1,0.0251,1.03867612658141,4,0.36965792995894,0.839035423064833,10.4346676580437,0.434106559011083,3.82431178497544,0.121906663449381,0.458586314255067,0.12069275863247,6.91775293925211,71.4156052340731,162.096407772606,2015.91267445115,83.8666781781224,738.833171408378,23.5516066252685,88.5960141264282,23.3170877899608,1336.46669793166,1.61481107379732,0.278633028484683,2.83285763165841,14.1914014093512,1.47062998162659,0.167726800292561,8.14034970586811,0.409578947941623,35.2291137560241,10,1e-05,33.2846299736985,3.54169717400781,4.73063152236532,9.66218448415815,1.48837364869253,54.5901148489232,14.3672659876093,64.3351023350446
602,0.1,0.0301,1.03376363103371,4,0.445472711188321,0.763238110617574,10.4355410884847,0.434143427950274,3.82455526031785,0.121916044440287,0.458617504176092,0.120698312075256,6.91841189705697,85.6555086646716,146.755450907012,2006.54620962263,83.4771136829176,735.38562073712,23.4420213374256,88.1829899253215,23.2078757152035,1330.27248428605,1.93667103072622,0.252260977258619,2.81982879795858,14.1266814889715,1.46387653641078,0.166928626102066,8.10224248582129,0.407652628024854,35.0650880713559,10,1e-05,33.2738899696653,3.54120082759529,4.73065681098872,9.66270624520066,1.48856074409354,54.593827697122,14.3679270694384,64.3412306426298
602,0.1,0.0351,1.02885115822133,4,0.522036057322401,0.686692399861289,10.4364229581259,0.43418066931768,3.82480083440049,0.121925512456806,0.458648969260927,0.120703903735725,6.91907748507902,99.9001168109572,131.409794394667,1997.17980775693,83.0875549178939,731.938042929625,23.332436075672,87.7699633228488,23.0986613158226,1324.07836448848,2.25859441958076,0.225881240895445,2.80680018208899,14.0619632171883,1.45712309735532,0.166130457938799,8.0641355491728,0.405726292988041,34.9010661540265,10,1e-05,33.263049622209,3.54069975960662,4.73068179337007,9.66323232542917,1.4887495185672,54.5975733008208,14.3685927007007,64.3474206112349
602,0.1,0.0401,1.02393870922553,4,0.599359047858306,0.609387204088001,10.4373127207647,0.43421825620112,3.82504841495824,0.121935065374343,0.458680693781225,0.120709532102531,6.91974922690057,114.149488947762,116.059377374071,1987.81334380545,82.697995824473,728.490415433176,23.2228502214648,87.3569306618855,22.9894442235648,1317.88423102959,2.58058207538474,0.199493721609479,2.7937714632032,13.9972447578228,1.45036955435447,0.165332306034326,8.02602855007706,0.403799935872834,34.7370454458164,10,1e-05,33.2521151692239,3.540194281198,4.73070681061776,9.66376293475541,1.48894004559631,54.601349787717,14.3692627014853,64.3536678101753
602,0.1,0.0451,1.01902628717008,4,0.677453037690659,0.53131118562601,10.4382111619481,0.434256190479549,3.82529867499779,0.121944712732686,0.458712759068144,0.120715234441719,6.92042724807647,128.403696393781,100.704132056596,1978.44695110066,82.3084360644899,725.042862534533,23.1132654212181,86.9439069136405,22.8802314713901,1311.69009486828,2.90263478097475,0.173098306570508,2.78074305865826,13.9325272068402,1.44361627283014,0.164534152515726,7.98792187592332,0.40187363050175,34.5730241222965,10,1e-05,33.2410715269744,3.53968334066274,4.7307318133079,9.66429913860297,1.48913244038061,54.6051668394718,14.3699415079423,64.3599734071112
