"idle1_phi","idle2_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.IDLE2","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.IDLE2","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.IDLE2","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0,0.1,1.01748493370123,4,1.24540731129398,12.2703655648589,0.586903142070517,3.62396848680748,0.13869827560512,0.40496210693475,0.117975944348856,4.4050394032431e-17,0.443875228314371,9.032727145695,286.383397677233,2821.59013307455,134.959313639297,833.337333830828,31.8938897014322,93.1216824108788,27.1287565765945,1.01294583688618e-14,102.069816739193,2077.0900145012,6.22572603646158,4.04932557491399,17.7340486150755,2.11360505339736,0.102319565606921,12.0340913898043,0.56851497225414,1.01294583688618e-15,10.2069816739193,49.0352038649205,10,1e-05,17.8784308999297,10.1563300123126,6.08339694666131,12.4718075757426,1.70245808061802,58.5737191470422,17.0640405906185,102.069816746354
0.02,0.08,1.01748493432259,4,1.24540731371239,12.2703658457515,0.58690315117428,3.62396854799228,0.138698276604087,0.404962115836887,0.117975947821086,0.088775040764432,0.355100190040834,9.03272737741814,286.38339840824,2821.59019938936,134.95931581514,833.337348409279,31.8938899506236,93.1216845148075,27.1287573916066,20.4139622339004,81.65585514041,2077.09006905475,6.22572605235304,4.04932577793227,17.734049459731,2.11360515992647,0.102319567178692,12.0340916137047,0.568514987066547,2.04139622339004,8.165585514041,49.0352050095012,10,1e-05,17.8784274592708,10.1563289275973,6.08339655156293,12.4718072859234,1.70245815953496,58.5737204346473,17.0640410928419,102.069819364825
0.04,0.06,1.01748493369885,4,1.24540730259394,12.2703651298921,0.58690308953695,3.62396884174641,0.138698278874167,0.404962140139668,0.117975968028125,0.177550075148583,0.266325112726442,9.03272632258391,286.383395675976,2821.59003304666,134.959301558805,833.337415447657,31.8938904530804,93.1216900461854,27.1287620216168,40.8279229756167,61.2418844642453,2077.08982522064,6.225725992956,4.04932542913364,17.7340472924316,2.11360527645503,0.102319564799849,12.034091051242,0.568515023752475,4.08279229756167,6.12418844642453,49.0351970704414,10,1e-05,17.8784292695266,10.1563293011128,6.0833985931079,12.4718090934755,1.70245833130842,58.5737239498016,17.064044015588,102.069807445198
0.06,0.04,1.01748493368958,4,1.24540731472559,12.2703657351598,0.586903154716014,3.62396848933485,0.138698274257187,0.404962112680113,0.117975948870275,0.266325142306954,0.177550094910547,9.03272732483005,286.383398463058,2821.59017220321,134.959316545604,833.337334402461,31.8938893911078,93.1216837309682,27.1287576159915,61.2418912657732,40.8279275195398,2077.0900556698,6.22572605354474,4.04932562320115,17.734049220252,2.11360509050454,0.102319568339408,12.0340918180905,0.568515006209795,6.12418912657732,4.08279275195398,49.0352045119061,10,1e-05,17.8784295250091,10.1563304411236,6.0833950395265,12.4718066902011,1.70245831597398,58.5737199780516,17.0640412445966,102.06981877058
0.08,0.02,1.01748493443391,4,1.24540731483361,12.2703658561438,0.586903149392696,3.6239685778258,0.138698276958539,0.404962118235205,0.117975950621098,0.355100187538268,0.0887750435668592,9.03272735746845,286.3833986974,2821.59020208778,134.959315420227,833.337355360718,31.8938900356198,93.1216850764928,27.1287580384418,81.6558545738747,20.4139628805565,2077.09006469454,6.22572605863912,4.04932578800966,17.7340494567129,2.11360518269697,0.102319567400306,12.0340915683359,0.568514995049289,8.16558545738747,2.04139628805565,49.0352047771062,10,1e-05,17.8784271583085,10.1563287954772,6.08339657768562,12.4718073530357,1.70245817935126,58.57372078154,17.0640414978356,102.069819139393
0.1,0,1.01748493368282,4,1.24540731252856,12.2703656266135,0.586903143972579,3.62396850555962,0.138698277383133,0.404962106597095,0.117975947332506,0.443875230563991,2.91456118097449e-17,9.03272718986024,286.383397955945,2821.59014722409,134.959314074238,833.337338127836,31.8938901097122,93.12168233155,27.1287572621988,102.06981725465,6.70207992326066e-15,2077.09002461949,6.22572604252054,4.04932560501541,17.7340488067641,2.11360507801668,0.102319567297154,12.0340913050032,0.568514983099918,10.206981725465,6.70207992326066e-16,49.0352041322387,10,1e-05,17.8784300714761,10.156329843298,6.08339675205197,12.4718078022376,1.70245816429985,58.5737190982038,17.0640410221736,102.069817245421
0,0.2,0.904430486903631,4,1.24540714511822,12.2703572559051,0.586902462490309,3.62397135409615,0.13869828352259,0.404962346026305,0.117976197612646,1.14003010149384e-17,0.99872109525464,9.03271548285669,254.562827087473,2508.07685236139,119.963620460801,740.744419846058,28.3501080783817,82.774825945491,24.1144869860648,2.33023623430025e-15,204.139880260431,1846.29869726218,5.53397450190159,3.59939429250151,15.7635666362243,1.87875974075818,0.090950655851357,10.6969586974888,0.505346888667216,2.33023623430025e-16,20.4139880260431,43.5867455168446,10,1e-05,17.8784588014599,10.1563345752733,6.08340700638038,12.4718228750972,1.70246083359853,58.5737537292448,17.0640772226931,102.069684956281
0.04,0.16,0.904430486996419,4,1.24540731255109,12.2703656225791,0.586903142701109,3.62396853847914,0.138698276218653,0.404962112382069,0.117975947248794,0.199743976938784,0.798978408392164,9.03272715353277,254.562861337083,2508.07856277764,119.963759509074,740.743844406304,28.350106588356,82.7747781967998,24.1144358138445,40.8279265682402,163.312217406395,1846.30108295284,5.53397524645833,3.59939829643954,15.7635891607152,1.87875892792457,0.0909506682143218,10.6969634409469,0.505346331894036,4.08279265682402,16.3312217406395,43.5868203648639,10,1e-05,17.8784293373727,10.1563300485463,6.08339714030372,12.4718074838732,1.70245823246518,58.5737199349425,17.0640410100656,102.06981683492
0.08,0.12,0.904430487177702,4,1.24540730298592,12.2703651476086,0.586903098540669,3.6239687430488,0.138698277051216,0.404962130804893,0.117975964952618,0.399487923214346,0.599234382581921,9.03272644440126,254.562859432974,2508.07846619579,119.963750506668,740.743886369081,28.3501067642155,82.77478197904,24.1144394373623,81.6558468852453,122.484280873316,1846.30093837552,5.53397520506466,3.59939808513534,15.7635877556009,1.87875899817824,0.0909506680288362,10.6969632123722,0.505346373939912,8.16558468852453,12.2484280873316,43.586815747558,10,1e-05,17.8784308764877,10.15632968411,6.08339757174351,12.4718085518848,1.702458331301,58.5737225996197,17.0640435707466,102.069808821734
0.12,0.08,0.904430487469711,4,1.24540730277945,12.270365141312,0.58690309006732,3.62396884137774,0.138698277009454,0.404962146734984,0.117975967194844,0.599234375580006,0.399487916648334,9.03272633767904,254.562859472962,2508.07846571852,119.963748813437,740.743906706802,28.3501067648325,82.7747852618962,24.114439903462,122.484279481662,81.6558455695077,1846.30091715747,5.53397520593395,3.5993980962906,15.7635877006188,1.87875907023401,0.0909506678140706,10.6969635314356,0.505346378738695,12.2484279481662,8.16558455695077,43.5868144595904,10,1e-05,17.878429716023,10.1563292162865,6.0833976964825,12.471808495931,1.70245845012032,58.573724903748,17.0640438950622,102.069807615773
