"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.Q","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"26",0.25,0.0482542228299807,4,1.35432324159032,17.7161620770042,1.03137764592925,1.57043241329593,0.146203488965772,0.129573611573759,0.0168527889082295,43.6358827807754,95.998942093743,16.8449248754077,18.8866746747375,247.06021380863,14.3830464303254,21.9004187314652,2.03887642743667,1.80696496454624,0.235020068841173,608.522911603986,1338.75040519459,234.910401204249,40.9516894241882,0.31157182171672,1.17766335022362,0.0541219058079786,0.00566309015541867,0.608898503469325,0.0110685437407589,60.8522911603986,133.875040519459,5.56115613048173,10,1e-05,4.41842963057604,5.97714233398253,1.66240576367674,5.77836305103845,0.671467752454816,23.9659351966825,3.11709183646613,243.409164449642
"27",0.26,0.04581425692428,4,1.35171607858569,17.5858039295895,1.02132710970328,1.61776274012458,0.146090437915734,0.136785584057913,0.0183335122543956,47.2727272757409,100,16.6597297909776,17.8971537690584,232.841675901115,13.522698013619,21.4196967695739,1.93428418363023,1.81108493866284,0.242741573575974,625.906048274519,1324.03202511169,220.580157729617,38.8061262953694,0.281001452211913,1.07749478905794,0.0511871431520794,0.00523736549582752,0.558295972153273,0.0104582784472958,62.5906048274519,132.403202511169,4.94948684511753,10,1e-05,4.76364173807546,6.28382012869548,1.78179666833648,6.03709930120177,0.709718628377995,25.2998616273515,3.390966426573,240.733095479626
"28",0.27,0.0422059113475156,4,1.33283914416608,16.641957212199,0.951014870980172,1.93257434657835,0.145087224414095,0.183229366617158,0.0295416289947005,49.0909088665234,100,15.3476041400222,16.2573166294008,202.990412545947,11.6000118577451,23.5725917862648,1.76970263553946,2.23494173467081,0.360334267204931,598.786772253352,1219.7508379432,187.202530102126,35.2504923679563,0.194913648356426,0.801209339087673,0.0472404982621923,0.00420736513619062,0.433541715704414,0.00976923626960654,59.8786772253352,121.97508379432,3.17774463289264,10,1e-05,7.64813450826516,8.71584192528481,2.69663178311661,7.8315542458821,0.980834343249542,33.8901036495096,5.46401969885981,221.772879823321
"29",0.28,0.0362079617422465,4,1.2982281024367,14.9114051218075,0.841043290629523,2.29232956194906,0.1412019310038,0.232567786319593,0.0468255672713911,50.909090909646,100,13.1665315425438,13.5847899115981,156.034448404155,8.80076189100851,23.9871679320253,1.47755125944219,2.4336127922567,0.489987462664918,532.717866220824,1046.41009435092,137.775915137077,29.4556933358276,0.121167913277705,0.526350997659307,0.0404594856095241,0.00315573103033168,0.322867450801946,0.00908548498368778,53.2717866220824,104.641009435092,1.86480433339362,10,1e-05,16.2232068243858,14.7538540442221,4.31977899873037,10.4042860837243,1.36589857915147,43.0157377576719,8.66085692251649,190.256380789758
"30",0.29,0.0283551760042136,4,1.24249855624805,12.124927883447,0.698569137666096,2.24107889425876,0.123822352724909,0.230356154606012,0.0535783899089105,52.7272717450436,100,10.3109732205325,10.1818356564971,99.3594901461518,5.72452669554418,18.3648478944643,1.0146803307787,1.88768710986961,0.439055931332076,432.081319389733,819.464586521773,84.4947740680075,22.0771193846377,0.0695734528557487,0.311555403096679,0.0280172026142229,0.00209714945860821,0.225982861013857,0.00734608083351576,43.2081319389733,81.9464586521773,1.11728091103405,10,1e-05,46.5629805594354,23.0942051414679,5.21589878143723,11.1781616368356,1.43865708001237,42.606674355928,9.90985899755208,148.993563036695
"31",0.3,0.0202161642060409,4,1.17907601320217,8.95380066417298,0.52144227858467,1.90547673105507,0.0976852721698392,0.196451262818974,0.0504897434226206,54.5454545228874,100,7.35133244686221,6.88871795105244,52.3123247990779,3.04651162834571,11.132693410396,0.570723414279511,1.14776089542579,0.294984884744494,318.680261079743,584.247145554583,42.9499499810203,14.9367023534147,0.0365543572282509,0.161227937566732,0.0166484427176427,0.00118648231238602,0.142454217580681,0.00511698345191762,31.8680261079743,58.4247145554583,0.634122419454184,10,1e-05,97.4160019703465,23.2247138823788,5.03273284132958,10.1769873285643,1.24860158228307,36.3356255709974,9.33858294344791,106.226753857159
"32",0.31,0.0123217614972137,4,1.11588151919367,5.79407595968588,0.339343478072537,1.49607198427994,0.0701483031138953,0.153150404150227,0.0450098444698554,56.3636363636283,100,4.4806405444411,3.97364189627067,20.6326411788048,1.20839841730654,5.32749598798562,0.249797340856661,0.545366915657746,0.160279564320846,200.710293188221,356.098907269476,15.9555120174279,8.61598728317589,0.0149592314686153,0.0633477772948788,0.00801012005607489,0.000527237551347854,0.0730484663059895,0.00300048064096285,20.0710293188221,35.6098907269476,0.285455224910498,10,1e-05,152.898832635742,20.3759581223545,4.60814120569161,8.71717168073931,1.00292090351332,28.3266987516261,8.32502083314446,64.745255867174
"33",0.32,0.00500780077453194,4,1.05482564652813,2.74128232639074,0.163966728588098,0.991295467097111,0.0414839654854405,0.0969721323222556,0.0363378017393724,58.1818181817795,100,1.8210184634649,1.52660108331745,3.96733297386267,0.237301573311653,1.43465675008857,0.0600378525672185,0.140343347492556,0.0525900443199177,84.2038937506192,144.725442383973,2.63547702714341,3.31010590881129,0.00316494883668957,0.0123828009562092,0.00221526103556324,0.000130709223283049,0.0219151461139298,0.00114774771835287,8.42038937506192,14.4725442383973,0.0697206609133202,10,1e-05,210.951662863127,15.8099244054789,3.91659712919959,6.66309030408756,0.688003097092133,17.9359655943244,6.72103980971431,26.3137167970679
"34",0.33,1.12940264970621e-09,4,1.00034820850694,0.017410425642349,6.39144305834674e-05,0.0173525863400681,0.000673066344986419,4.50102056040511e-05,0.000697271647873566,59.9860625039304,99.9998799814472,4.1059628938723e-07,3.26511020104496e-07,5.68271706651176e-09,2.08615017768197e-11,5.66383847060958e-09,2.19687081988707e-10,1.46912125417076e-11,2.27587629088618e-10,1.95792927839032e-05,3.26396974027699e-05,1.34017547248914e-13,7.07968878543729e-07,2.02627093685201e-11,1.08503869276251e-12,7.26018833941256e-11,1.08164403823448e-12,1.63782491478383e-10,3.54608257914364e-10,1.95792927839032e-06,3.26396974027699e-06,2.63506240955436e-09,10,1e-05,288.128723970756,0.0184641506989641,0.543794886577032,0.116567653649617,0.0551509518750513,0.00832508762852529,0.128967363990695,5.93311638164548e-06
"35",0.34,3.63459399433899e-12,-1,1.00009515477425,0.041557687672672,0.0103573619781759,0.039909616002995,0.00282916164304658,0.000126620522383079,0.0023037778800531,61.832227546829,99.9999999996689,1.33417695498801e-09,1.05049761471659e-09,4.36520980677419e-11,1.08793488308481e-11,4.19209674352088e-11,2.97174478196425e-12,1.33001900971732e-13,2.41988290442115e-12,6.49484273976105e-08,1.05039766436049e-07,1.40141635736764e-18,2.2777779995473e-09,1.09157197127852e-13,5.659271646609e-13,1.36554307543864e-13,1.28299977771005e-14,4.05061820019366e-13,1.03002597021802e-12,6.49484273976105e-09,1.05039766436049e-08,6.02061453275539e-17,10,1e-05,283.890288076122,2.99327758855821,0.671424161579939,0.697444076340721,0.0853358846144105,0.0234197318199743,0.426106756694621,1.92788569995767e-08
