"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","P","tau TC","tau ATPS","tau EAA","tau ENT","tau RNAP","tau DNAP","tau R","v TC","v ATPS","v EAA","v ENT","v RNAP","v DNAP","v R","p TC","p ATPS","p EAA","p ENT","p RNAP","p DNAP","p R","q TC","q ATPS","q EAA","q ENT","q RNAP","q DNAP","q R"
"1",4,1.00236588220225,10,1e-05,18.7089784761618,11.1280543212077,7.11200189965601,13.0781485105662,53.9427895541658,13.3904280103726,108.639599629606,0.0314184753553661,0.0793861023095569,0.147007689258098,0.0196742530512351,0.231060402955473,0.037279713575883,0.547513451181466,268.885240083123,84.7011006054563,131.85129112452,74.6213480839672,54.0704118399116,13.4221081856828,108.896628124829,8.44796428897329,6.72409023839683,19.3831536339125,1.46811928522827,12.4935311476983,0.50037234874677,59.6223686866498,1.18694951674621,0.373899029937228,0.582035764529999,0.329403625947763,0.238684909531707,0.0592496814618257,0.480706193051353
"2",4,0.994672315271266,8,1e-05,17.776030556807,10.984895659885,7.07600305234598,12.9730351077661,54.0444327164411,13.3212217998966,109.824381088529,0.0339612215201383,0.0806223888379238,0.148920421479129,0.0198390193895637,0.231860397906978,0.0374087862437776,0.548599603567601,266.952221970571,84.3125574749934,131.638063876393,74.0450558864734,53.7565010175847,13.2502505299452,109.239271410561,9.06602354563572,6.79747979266872,19.6035959551689,1.46898129943307,12.4640037160241,0.495675789751221,59.9286209898475,1.18753131444253,0.375062629047259,0.58558914352485,0.329387865348158,0.23913465803735,0.0589434592915777,0.485948588887297
"3",4,0.985438294131153,6.4,1e-05,16.7366224723283,10.8130145618855,7.03303846435859,12.8461264521759,54.1521955948753,13.2383876948144,111.180614410891,0.0369740589345857,0.0821535455181012,0.151271045677955,0.0200446509428565,0.232829564258699,0.0375651533388635,0.550042496695724,264.614434754814,83.8107612495336,131.307815717664,73.3398868643715,53.3636472504704,13.0456141870247,109.561635005522,9.78386970556656,6.88535118922027,19.8630705892993,1.47007243238491,12.4246347365819,0.490060497335238,60.2635552605029,1.188161996288,0.376323995661583,0.589593521592567,0.329308060858621,0.239611484933076,0.0585769367027186,0.491949621287129
"4",4,0.974440921226349,5.12,1e-05,15.6038491528879,10.6090713376588,6.98211235838911,12.6942212567172,54.2615535009432,13.1398955841106,112.709296921119,0.0405182787536302,0.08404187602301,0.15414416301925,0.020300608904721,0.233998864198419,0.0377538103578918,0.551946717507443,261.807365799991,83.1674349877378,130.817827907366,72.4823861370452,52.8746781806319,12.8040519577987,109.828551122589,10.6079838272377,6.9895472603912,20.1648045907771,1.47143657344913,12.3726146391248,0.483401749427326,60.6195082807113,1.18882494202261,0.377649883055621,0.594022617363287,0.329130802847092,0.2400953694732,0.058141130903144,0.49871370319079
"5",4,0.961454444680956,4.096,1e-05,14.3983818297104,10.370407797371,6.92218212770172,12.5142095196162,54.3662371936691,13.0236013723971,114.404979895874,0.0446610264928212,0.0863592861864063,0.157634487018466,0.0206182279536625,0.235403928824875,0.0379805060883584,0.554436652549042,258.464344150531,82.3512798122659,130.118245966716,71.4476225892464,52.2706603904323,12.5215994252442,109.995176414523,11.5432829215565,7.1117977411243,20.5111229547058,1.47312336929233,12.3047188181785,0.475576683206474,60.9853574078095,1.18949737745357,0.378994757240422,0.598826553213564,0.32881425085738,0.240558571653403,0.0576265547451201,0.50621672520298
"6",4,0.946257957498529,3.2768,1e-05,13.1470083841166,10.0954195877526,6.8521750949691,12.303271062972,54.4583765468328,12.8872856177461,116.256463890864,0.04947958059802,0.0891882325943886,0.161847280671133,0.0210110768518044,0.237085786494995,0.038251860121397,0.557655846089514,254.519116923641,81.3296367073512,129.154386644307,70.2102939360281,51.5316721598918,12.1946965663486,110.008604067371,12.5934991595602,7.25364655547236,20.9032862651291,1.47519388167767,12.2174270234302,0.466469827278846,61.3469411783159,1.1901519812051,0.380303960770793,0.603936360474516,0.328309014422779,0.24096626790634,0.057023387689142,0.514409132260461
"7",4,0.928642908660919,2.62144,1e-05,11.8799372397341,9.78383927434366,6.77100700673009,12.0590757577706,54.5288532646776,12.728704037701,118.248583245209,0.0550679741704574,0.092623370668185,0.166899846315102,0.0214954875424055,0.239091783640379,0.0385755114180164,0.561766014866589,249.908624169769,80.0706539476628,127.870005171289,68.7461012840025,50.6378329016546,11.8204207410546,109.810708289864,13.7619616607554,7.41641386023834,21.3414842113995,1.47773096373922,12.1070897881401,0.455978775262311,61.6879239856742,1.19075950736234,0.381519016263037,0.609272388538096,0.327560019066852,0.241278111790609,0.0563216992818629,0.523223819669066
"8",4,0.908419909515038,2.097152,1e-05,10.6275026370192,9.43686841750048,6.67760502910157,11.7799395191859,54.5677847448893,12.545643365281,120.364656005696,0.0615457515386183,0.0967742596033192,0.172924651925015,0.022091343738585,0.241476794122802,0.0389603134287588,0.56694683836265,244.575685235188,78.5455718807038,126.210918729263,67.0332436473985,49.5704620803884,11.3967122106965,109.341649917503,15.0525943558722,7.6011895638744,21.8249791903942,1.480854427327,11.9701162663581,0.4440194797861,61.990902722084,1.19129191926073,0.382583841011082,0.614754682012078,0.326508996191469,0.241450374977386,0.0555116963065532,0.532586973476531
"9",4,0.885424807754239,1.6777216,1e-05,9.41709235325731,9.05712684456688,6.57092941697289,11.4649321660672,54.5649972187126,12.3359836414344,122.588940009086,0.0690684595597231,0.101769524152821,0.18007450200026,0.0228232328143655,0.244304839196323,0.0394165954613875,0.573397777112235,238.471386303865,76.7307565807385,124.128269122034,65.0538520324556,48.3132021724892,10.9225859441765,108.543288640341,16.4708513010796,7.80885258510768,22.3523362463046,1.48473921040802,11.8031490878094,0.430531151553842,62.2384804268234,1.19172527807829,0.383450541553951,0.620312559630708,0.325096948128849,0.241438040790764,0.0545839984134266,0.542428938093303
"10",4,0.859524683218916,1.34217728,1e-05,8.27096948857416,8.64844500050708,6.45000211558579,11.1139184470666,54.5104230308194,12.097772155592,124.908470154585,0.0778397160867858,0.107762665370152,0.188529896721174,0.0237220865127989,0.24765111000627,0.0399564889946219,0.58134266754216,231.557181015022,74.6092045399719,121.580978293825,62.7953238925442,46.8530540876942,10.3983337796898,107.361913240979,18.0243452280658,8.04008674237421,22.9216492809941,1.48963610597816,11.6032108520013,0.415480909230582,62.4140610359406,1.19204173717218,0.384083470868878,0.625891194292361,0.32326635974335,0.241196562083272,0.0535299652902301,0.552692345816747
