"reaction","phi","rel_phi","mu","convergence","f.TS","f.AAS","f.R","v.TS","v.AAS","v.R","p.TS","p.AAS","p.R","c.x_S","c.S","c.AA","c.P"
"TS",0.2491,1.00012845127046,1.70389673418541,4,1.0000000000111,0.862692374346476,0.752423286881295,579.324889629471,499.77916454691,435.89753762231,63.7257378592418,75.8541971265483,116.24398255385,100,46.6845927259728,37.4914897381617,255.82391753964
"TS",0.248600801603206,0.99812418583705,1.7038884505694,4,0.999999999985555,0.863774284320925,0.753927479192475,579.322073185226,500.403509164112,436.766830283405,63.7254280503749,76.0553688616322,116.554546013434,100,46.3167433259741,37.3479137436731,256.335342925441
"TS",0.248101603206413,0.996119920403643,1.70386097703704,4,1.00000000000792,0.864852536143787,0.755432248792848,579.31273219718,501.020085657151,437.63152003458,63.7244005416898,76.2569607639018,116.865603283977,100,45.9501377138041,37.202897699319,256.846964589568
"TS",0.247602404809619,0.994115654970235,1.703814139114,4,0.999999999998827,0.865924912151923,0.756934483346929,579.29680729808,501.627536970068,438.489729537212,63.7226488027888,76.4585618495798,117.176513685587,100,45.5855298679474,37.0567457936981,257.357724337956
"TS",0.247103206412826,0.992111389536827,1.70374776619158,4,1.00000000004795,0.866991380894486,0.758434091559301,579.274240532916,502.225773692154,439.341332361218,63.7201664586207,76.660166335743,117.487258335799,100,45.2229305121791,36.9094783739629,257.867591130162
"TS",0.246604008016032,0.99010712410342,1.70366168905944,4,0.999999999994584,0.868051905831375,0.759930981539559,579.244974277071,502.81470386718,440.186201856615,63.7169471704778,76.8617672803935,117.797819272579,100,44.8623520154911,36.7611142592175,258.37653372345
"TS",0.246104809619238,0.988102858670012,1.70355574007354,4,1.00000000002946,0.869106454459462,0.761425062335147,579.20895164207,503.394238337989,441.024212096144,63.7129846806277,77.0633582584742,118.108178254848,100,44.5038054938009,36.6116733222672,258.88452119395
"TS",0.245605611222445,0.986098593236604,1.70342975390895,4,1.00000000003083,0.870154991049654,0.762916233991673,579.166116346901,503.964286770562,441.855232325338,63.7082727981592,77.2649320469977,118.418314712012,100,44.1473030536007,36.4611773997135,259.391519557169
"TS",0.245106412825651,0.984094327803196,1.70328356399804,4,1.0000000000061,0.871197500506806,0.764404429362607,579.116411762867,504.524770427203,442.679150265415,63.7028052939153,77.466485158216,118.728215531155,100,43.7928498297597,36.3096441890275,259.897505983286
"TS",0.244607214428858,0.982090062369789,1.70311700999812,4,0.999999999982344,0.872233937683685,0.765889532859841,579.059783389137,505.075595028687,443.495827005658,63.6965761728051,77.6680081073336,119.037856892207,100,43.4404611815439,36.157097640107,260.402441172346
"TS",0.244108016032064,0.980085796936381,1.7029299305248,4,0.999999999998549,0.873264279566742,0.767371461118596,578.99617637759,505.616678837008,444.305141849597,63.6895794015349,77.869495449934,119.347221928854,100,43.0901449468143,36.0035582723696,260.906296780323
"TS",0.243608817635271,0.978081531502973,1.70272216685884,4,1.00000000017678,0.87428850064308,0.7688501234004,578.925536834347,506.147939493416,445.106970356047,63.6818090517781,78.0709410570967,119.656291847261,100,42.7419098414566,35.8490482625109,261.409041956136
"TS",0.243109619238477,0.976077266069565,1.70249356222981,4,1.0000000000095,0.875306575053416,0.77032542831086,578.847811163634,506.669295061995,445.901188057195,63.6732592279997,78.2723385765159,119.965047821177,100,42.3957644850676,35.6935898924689,261.910645625692
"TS",0.242610420841683,0.974073000636158,1.70224396237978,4,1.00000000000296,0.876318478260873,0.77179728478289,578.762947210842,507.180665172079,446.687671188947,63.6639241931926,78.4736815981042,120.273471034886,100,42.051717392311,35.5372057825142,262.411076826183
