"","kcat","km","phi","rel_phi","mu","convergence","f.TC","f.TC2","f.ATPS","f.EAA","f.ENT","f.RNAP","f.DNAP","f.R","v.TC","v.TC2","v.ATPS","v.EAA","v.ENT","v.RNAP","v.DNAP","v.R","p.TC","p.TC2","p.ATPS","p.EAA","p.ENT","p.RNAP","p.DNAP","p.R","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.P"
"879",5.07,10,0.39,5.01534369752336,0.483357780381699,4,1.11678531781621,2.51166217042978e-19,0.233570635573321,0.292782634144118,0.255793366124311,0.159202018697979,0.0625184157536642,0.155039397151421,121.996353158449,2.74371108099482e-17,25.5149895779122,31.9832407033709,27.9425752930836,17.3910467721718,6.82944036379773,16.936326746615,13.6653476590599,-3.85482314362337e-17,1.48982830850418,3.57596260740407,0.495540367042395,3.85781456978002,0.24442621544187,11.7099840289887,10,1e-05,107.423457535481,12.1235669767512,7.70048255802302,13.6047709941316,35.9796562257433,14.1291619603281,35.0389037562211
"880",5.07,10,0.38,4.8867451411766,0.498146067366523,4,1.11855205394588,8.70226861069392e-17,0.237104107883351,0.298490847097553,0.258809482978168,0.161648180999299,0.0629148438916976,0.160003894046177,125.927721340843,9.79710200142055e-15,26.6934202310699,33.6044014075999,29.1370333082587,18.1985156795561,7.0830167463799,18.0134001916298,13.741315225124,-1.38664276959929e-14,1.56156973984852,3.76351998321069,0.515876309966485,4.02159309779006,0.25253842572338,12.3044672727728,10,1e-05,105.427379947206,12.2093029816186,7.73969952770076,13.7114938646249,36.5324889058415,14.2187547195237,36.1608800544359
"881",5.07,10,0.37,4.75814658482985,0.513163478574374,4,1.12034300407263,4.84150361646523e-17,0.240686008079286,0.30431232643205,0.261841712586888,0.164116703446615,0.0633072476807955,0.165107855466494,129.931719575601,5.6149312124239e-15,27.9135468279331,35.2926056731145,30.3670785191328,19.0334258458182,7.34205464117931,19.1483746479579,13.8065054454749,-8.00950879086793e-15,1.63616616186,3.95953350029589,0.536812186362264,4.19043651046731,0.260799619512964,12.9241219114543,10,1e-05,103.398593150766,12.2937833352146,7.77841408984203,13.8170211414102,37.0903749789349,14.3074379758598,37.3143753354277
"882",5.07,10,0.36,4.6295480284831,0.528412308716786,4,1.12215934897423,5.06049282619923e-18,0.244318697935376,0.310253040408199,0.264891086660738,0.166608950808529,0.0636954171538586,0.170358728066646,134.009595588749,6.04330033643287e-16,29.1768276359487,37.0507847332807,31.6336066093632,19.8966377990133,7.60658198984653,20.3444406305518,13.8605786208295,-8.69247706089706e-16,1.71375224253855,4.16445047337623,0.558366836550691,4.36451455335539,0.269211026058493,13.5701987903531,10,1e-05,101.335376489131,12.3769055844063,7.81659842582719,13.9212597995524,37.6536228827277,14.3951642767721,38.5010725430619
"883",5.07,10,0.35,4.50094947213634,0.543902652980185,4,1.12400323528463,4.12118102707229e-16,0.248006470585151,0.316322428064714,0.26796012496743,0.169127588404045,0.0640792831172379,0.175767325543258,138.164725208294,5.06583812452186e-14,30.4854512714986,38.8829853676661,32.9381943669673,20.7895013496727,7.87675361200869,21.6056711154674,13.9031954497677,-7.35134363896776e-14,1.79451426780886,4.37886475705521,0.580571405333551,4.54409863117532,0.277778084034993,14.2443929776008,10,1e-05,99.2348553702684,12.4585915752167,7.85423527882946,14.0241492373029,38.2228349793141,14.4819179844958,39.7234155727763
"884",5.07,10,0.34,4.37235091578959,0.559621289651072,4,1.12587408921754,2.09531305113605e-18,0.251748178425477,0.322521230775639,0.271046681978436,0.171671528780926,0.0644581366627552,0.181337012808544,142.394262813139,2.65003484969283e-16,31.8397027027768,40.7906828460722,34.2804695817181,21.7120555672021,8.15230489830384,22.9344919710823,13.9339360642596,-3.88215908628862e-16,1.8785285171963,4.60308757444945,0.603424718849724,4.72920054488755,0.286493150811175,14.9474943242772,10,1e-05,97.0972101265059,12.5386186823027,7.89124573685463,14.12545617042,38.7977655044892,14.5675388857827,40.982164894731
"885",5.07,10,0.33,4.24375235944284,0.575570043771024,4,1.12777317749239,9.43235378270568e-19,0.255546355026158,0.328856532866349,0.274151564519332,0.174242190978093,0.064831590253362,0.187077085173434,146.699415312077,1.22694954318411e-16,33.2411708450325,42.7772729976774,35.6613147258048,22.6652203202926,8.43321740021122,24.3347683390134,13.9524204084947,-1.81570225916181e-16,1.96595988718318,4.83767510519909,0.626947950886613,4.92001510024401,0.295356700241956,15.6810460969466,10,1e-05,94.9204713379581,12.6168253168219,7.92757902306027,14.2250285099797,39.378735161049,14.6519393972598,42.2794212491961
"886",5.07,10,0.32,4.11515380309609,0.591766915344419,4,1.12970376020516,8.11890367115827e-18,0.259407520412534,0.335342486716839,0.277278618210906,0.176843632754015,0.0651995347513493,0.193003702037225,151.085815931089,1.08581667940992e-15,34.6929861267974,44.8484771023272,37.0830546452566,23.6509476980108,8.71974162894358,25.8121844214447,13.9582458252525,-1.62442492590057e-15,2.05708052102983,5.08348515269142,0.651188064462133,5.11694921262605,0.304377969885565,16.4475099144654,10,1e-05,92.7003127230786,12.693097197626,7.96321185945237,14.3227857029673,39.9666610024075,14.7350948538049,43.618836660413
"887",5.07,10,0.31,3.98655524674933,0.608205820769798,4,1.13166629273516,5.02939966522037e-17,0.263332585522161,0.341984359994324,0.280426888433554,0.179476076239143,0.065561197836271,0.199125451778944,155.552641968774,6.91313694208422e-15,36.1962529567243,47.0072945095367,38.5459420811169,24.6697971022109,9.01168268378922,27.3706924967936,13.9509541644996,-1.04643182158677e-14,2.152048711342,5.34108500030437,0.676158191209359,5.32013889225945,0.313552540963788,17.2484146014629,10,1e-05,90.435537917728,12.7671691233917,7.99805284493971,14.4184640649976,40.5615932300462,14.8168307109972,45.0023521020414
"888",5.07,10,0.3,3.85795669040258,0.624896695163016,4,1.13366322221004,0,0.26732644442808,0.348794650696838,0.283598380608888,0.182142371704975,0.0659160491902736,0.205458091474864,160.103462623041,0,37.7536190335298,49.2591011394844,40.0516501199136,25.723357544836,9.30910301316828,29.0161586127144,13.9300586018729,0,2.25113488161417,5.6113615995013,0.701897457751097,5.52993560924535,0.322884573998069,18.0862559493365,10,1e-05,88.1225654133128,12.838812810906,8.03203089528252,14.5118590839482,41.1641760053244,14.8970271170018,46.4335286733193
