"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.Q","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"1",0,0.0701886651425765,-1,1.18311056134154,9.1553241667174,0.555885086681844,0.449875911967534,0.0720980012291088,0.0102804494571672,0.0022685865168325,0.0557005484153575,35.5683698058854,9.0786187510417,18.7672549297623,145.227595979339,8.81780407875128,7.13621888142091,1.14366451725249,0.163075051528931,0.0359857674191841,0.883557653862249,564.208185941813,144.01084571312,-0.513373909162486,0.308089181847592,0.338915018716472,0.0258420981890835,0.0220222509681792,8.91638659994608,0.0277612529280456,0.0883557653862249,56.4208185941813,36.9535750337708,10,1e-05,117.360607424246,2.52395932597124,0.187441251983402,1.45435111279485,0.0710780645795204,1.48696420948467,0.328128353794653,102.588391886771
"2",0.01,0.0779341905182461,-1,1.1779299537485,8.89372264180351,0.531609701133956,0.474823252438707,0.072130983741906,0.0136302238029612,0.00219901427875927,0.562021278377294,31.2013507411271,8.77800253649499,20.7470299397641,156.646266900902,9.36330921087188,8.36312227487962,1.27045218140151,0.240070863658587,0.038731517892216,9.89895218486631,549.553354957349,154.60807398304,-0.561102444380286,0.51267559543031,0.319907635927747,0.0270161553986105,0.00806092355083636,6.32409214953832,0.0143956135698172,0.989895218486631,54.9553354957349,36.6011523191365,10,1e-05,120.898797823075,1.11407806140201,0.509900327578482,1.96517900454408,0.0436183310763525,1.97147557086031,0.31806542527974,99.1914286623934
"3",0.02,0.0129682380971063,-1,1.05527943690773,2.76409645306513,0.166413565313155,0.248097774138196,0.0400971354664112,0.00365961004405319,0.00302910214064316,2.02840691515129,55.68652562499,2.62637720243659,3.09283598927672,8.10107416943773,0.487728506690671,0.727130367443287,0.117517559141318,0.0107256649330086,0.00887775861835118,5.94489922637074,163.207283821839,7.69744358604619,-0.0721948427994577,0.00311297732361554,0.0159255214060739,0.00666646630821701,-0.000578492400069563,0.948149115057462,0.0110729331799464,0.594489922637074,16.3207283821839,11.8506904046367,10,1e-05,189.136344478859,1.9957908957328,0.079716852343819,0.417216462212315,3.72485036621607,0.529325996771853,0.438129333622627,29.6780623875335
"4",0.03,0.0973970224834339,-1,1.17574098962328,8.78598152044184,0.525816469714569,0.492133946375278,0.0690652600515388,0.0186751820698775,0.00445240419750284,1.33616295206122,24.4235546362191,8.65058783926714,25.8800897818335,193.394627368925,11.5741286261866,10.8327181150341,1.52024565505045,0.41107301091491,0.0980051060508715,29.4112542368571,537.604619006601,190.414378610381,-0.698408262258601,0.405826803089533,0.407835748182333,0.0395464689002228,0.0177668326700359,8.12191134006168,0.0273208943194818,2.94112542368571,53.7604619006601,32.7282554344083,10,1e-05,121.592694635688,1.53255105503005,0.296648389278725,1.41492556796561,0.0711908730683568,2.70117833458708,0.643995743126812,97.7516425837187
"5",0.04,0.0473370026510841,-1,1.1529358306707,7.64768556223574,0.459890352333072,0.386556322382242,0.0605613664611614,0.00963568626778036,0.0021472137259932,3.20576481033975,43.9916069936518,7.57242151318969,12.3342949828955,81.8161836519316,4.91998176703729,4.13544239057274,0.647895345627912,0.103084138447063,0.0229712415757912,34.2957931956319,470.629364615771,81.010996617367,-0.319623848009693,0.129546592805791,0.165198264675963,0.0156158314347964,0.0113766032133457,4.70892359943288,0.0148054358144567,3.42957931956319,47.0629364615771,30.3500048385357,10,1e-05,135.866441255934,1.25318390842203,0.248924264278142,1.25691235790318,0.097855449593732,1.39370566177175,0.310572993327656,85.5683630990435
"6",0.05,0.353013597132611,-1,1.12329227854755,7.65793996357999,0.3858677039936,2.23686702438373,0.115261489895746,0.0334370329198821,0.268711864481986,0.437290254742704,4.84210940891677,5.62639004784263,89.6174632211866,610.958666896182,30.7849394421226,178.459651256215,9.19568533392526,2.66764236267854,21.4381208632972,34.8874857148133,386.308683994209,448.879434863171,-2.8346021410811,1.05666473988297,3.00677599833772,0.437212620256555,0.0227947832633794,1.35420228624944,0.15354991498628,3.48874857148133,38.6308683994209,18.2619923678242,10,1e-05,83.6381035437625,10.9122520538076,1.71632249777687,15.4995717597132,0.202892400476497,4.83633244153175,38.8664840786744,63.5782075406217
"7",0.06,5.04701053262093e-18,-1,1.09570920910758,4.78696423017825,0.152952698661028,4.88637893346762,0.0685954088281876,0.776399573768316,0.0025423946029698,10.366847315871,100,1.74197102934196e-15,1.24979263770659e-15,5.46012810891158e-15,1.7446157713651e-16,5.57352294325092e-15,7.82415956910381e-17,8.85580282750826e-16,2.89991726867439e-18,1.18246787960799e-14,1.14062438037233e-13,1.98693462596972e-30,-5.18770821149463e-17,2.62441149716612e-18,-3.58380329887472e-17,-3.83144630605799e-17,1.79862106392165e-19,7.21845274290494e-15,3.33509888635582e-19,1.18246787960799e-15,1.14062438037233e-14,1.1601937321198e-31,10,1e-05,50.3649917369856,34.5673098973922,18.2776641560189,0.0680642947435922,10.0490065475453,112.298434349849,0.367731955373553,1.96842726315642e-14
"8",0.07,0.0117603362991256,-1,1.07974441374264,3.06761246371566,0.467798315308774,2.44002328862176,0.191718301149646,0.242524351593319,0.0184860032144167,2.82167225964592,17.0385142163007,0.706178158069582,2.86978357753374,8.1532108511629,1.2433312048522,6.48518174612723,0.509555803345015,0.644589953415049,0.0491327649059863,7.49954212205304,45.2855765319751,1.87690573347495,-0.11852469642665,0.00382660379137618,-0.130954999781004,-0.0788107868723163,-0.00504301270582337,1.15938806434898,0.00124687645819432,0.749954212205304,4.52855765319751,1.87017327197071,10,1e-05,50.7882252116871,96.1466434363595,2.45792376705016,0.00686786406402917,35.0246179851037,35.0787222144577,2.67381550493324,7.97981318618628
"9",0.08,0.0171880814875814,-1,1.04788374298638,2.39323299731974,0.140835266220023,0.197151732655409,0.0217101878366633,0.00571218902493152,0.00992326616928079,5.32550321380022,36.6671045745653,2.28880459307997,4.07051112305537,9.29652893353432,0.547075495257984,0.765837170463582,0.0843333639482827,0.022189034917856,0.0385469911041662,20.6869514034655,142.433602983133,8.89087612723207,-0.0940910235768233,0.0161488334812494,0.0166850535515612,0.00297819335602753,-0.00587379727634665,1.92690114796066,0.0472300530715438,2.06869514034655,14.2433602983133,7.64145800257587,10,1e-05,195.935812367982,0.792579883560781,0.0255800752453595,1.04555657555152,0.079779723603385,0.826211020566095,1.43530121872477,25.8634919018036
"10",0.09,0.00949350847088759,-1,1.06487255035069,3.24343912460042,0.174536217122344,0.497908933416866,0.0899079921074792,0.00347536796198682,0.000483020814639439,13.5863709400534,83.0542190440396,2.86696021457715,2.28471910644041,6.95890539774973,0.374473198594449,1.06828000502994,0.192900556336064,0.00745651635216553,0.00103633705615917,29.1500060394121,178.195560640485,6.15115750470961,-0.0542024303842392,0.00255206011672661,0.0114397186691592,0.00691085796466041,-0.000827010299483559,2.07033857816992,0.00405988148235987,2.91500060394121,17.8195560640485,9.62182210101306,10,1e-05,178.734816062463,0.569204559983614,0.166407521112397,1.2735471376077,12.287684477522,0.502677222021773,0.0698641306294485,32.3966504247218
